Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002628,0.002628,0.001094,2.4026,1.0,0.002628
Adams,0.001124,0.001124,0.000326,2.3002,1.5,0.001124
Alcorn,0.003831,0.003831,0.001515,2.3899,1.0577,0.003831
Amite,0.002048,0.002048,0.000895,2.2894,1.0,0.002048
Attala,0.004901,0.004901,0.002036,2.4071,1.0,0.004901
Benton,0.008305,0.008305,0.001695,2.4496,2.0,0.008305
Bolivar,0.01287,0.01287,0.002579,2.4949,2.0,0.01287
Calhoun,0.001866,0.001866,0.000766,2.4362,1.0,0.001866
Carroll,0.000909,0.000909,0.000402,2.2596,1.0,0.000909
Chickasaw,0.002182,0.002182,0.000994,2.1956,1.0,0.002182
Choctaw,0.009364,0.009364,0.001949,2.4026,2.0,0.009364
Claiborne,0.000788,0.000788,0.000334,2.3608,1.0,0.000788
Clarke,0.000773,0.000773,0.000322,2.4026,1.0,0.000773
Clay,0.002355,0.002355,0.001035,2.2749,1.0,0.002355
Coahoma,0.008151,0.008151,0.002486,2.4289,1.35,0.008151
Copiah,0.003648,0.003648,0.00114,2.4771,1.2917,0.003648
Covington,0.009242,0.009242,0.001878,2.4606,2.0,0.009242
DeSoto,0.005507,0.005507,0.002033,2.4995,1.0838,0.005507
Forrest,0.001942,0.001942,0.000814,2.3841,1.0,0.001942
Franklin,0.003637,0.003637,0.001037,2.5049,1.4,0.003637
George,0.001209,0.001209,0.00049,2.4675,1.0,0.001209
Greene,0.004972,0.004972,0.000957,2.5982,2.0,0.004972
Grenada,0.002657,0.002657,0.000963,2.3222,1.1875,0.002657
Hancock,0.001916,0.001916,0.000567,2.34,1.4444,0.001916
Harrison,0.001286,0.001286,0.000553,2.3264,1.0,0.001286
Hinds,0.002984,0.002984,0.001221,2.4445,1.0,0.002984
Holmes,0.002476,0.002476,0.000999,2.4771,1.0,0.002476
Humphreys,0.00087,0.00087,0.000372,2.3374,1.0,0.00087
Issaquena,0.009053,0.009053,0.003768,2.4026,1.0,0.009053
Itawamba,0.003144,0.003144,0.001325,2.372,1.0,0.003144
Jackson,0.001533,0.001533,0.000613,2.3864,1.0482,0.001533
Jasper,0.001141,0.001141,0.000488,2.3374,1.0,0.001141
Jefferson,0.003201,0.003201,0.000858,2.2376,1.6667,0.003201
Jefferson Davis,0.003562,0.003562,0.001438,2.4771,1.0,0.003562
Jones,0.001511,0.001511,0.000646,2.3387,1.0,0.001511
Kemper,0.001973,0.001973,0.000821,2.4026,1.0,0.001973
Lafayette,0.002716,0.002716,0.001166,2.3292,1.0,0.002716
Lamar,0.004243,0.004243,0.0012,2.4048,1.4706,0.004243
Lauderdale,0.002568,0.002568,0.001012,2.3319,1.0882,0.002568
Lawrence,0.003331,0.003331,0.00143,2.3292,1.0,0.003331
Leake,0.00298,0.00298,0.000658,2.2631,2.0,0.00298
Lee,0.003634,0.003634,0.001463,2.4837,1.0,0.003634
Leflore,0.00084,0.00084,0.000355,2.3683,1.0,0.00084
Lincoln,0.002918,0.002918,0.001259,2.3179,1.0,0.002918
Lowndes,0.002711,0.002711,0.001161,2.336,1.0,0.002711
Madison,0.002502,0.002502,0.001054,2.3745,1.0,0.002502
Marion,0.006432,0.006432,0.001506,2.3732,1.8,0.006432
Marshall,0.003893,0.003893,0.001587,2.4536,1.0,0.003893
Monroe,0.004542,0.004542,0.001901,2.3899,1.0,0.004542
Montgomery,0.001918,0.001918,0.000818,2.344,1.0,0.001918
Neshoba,0.003478,0.003478,0.001374,2.5321,1.0,0.003478
Newton,0.002389,0.002389,0.000952,2.5103,1.0,0.002389
Noxubee,0.007774,0.007774,0.003264,2.3817,1.0,0.007774
Oktibbeha,0.001481,0.001481,0.000625,2.3696,1.0,0.001481
Panola,0.013807,0.013807,0.002778,2.4847,2.0,0.013807
Pearl River,0.002845,0.002845,0.000612,2.3236,2.0,0.002845
Perry,0.000758,0.000758,0.000334,2.2682,1.0,0.000758
Pike,0.002235,0.002235,0.000967,2.3107,1.0,0.002235
Pontotoc,0.003326,0.003326,0.001336,2.4884,1.0,0.003326
Prentiss,0.004779,0.004779,0.001831,2.6102,1.0,0.004779
Quitman,0.00818,0.00818,0.001914,2.4931,1.7143,0.00818
