Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.000709,0.000709,0.000298,2.3781,1.0,0.000709
Anderson,0.000709,0.000709,0.000299,2.3732,1.0,0.000709
Bedford,0.000519,0.000519,0.000221,2.3454,1.0,0.000519
Benton,0.000434,0.000434,0.000186,2.34,1.0,0.000434
Bledsoe,0.000518,0.000518,0.000199,2.5989,1.0,0.000518
Blount,0.000569,0.000569,0.00024,2.3671,1.0,0.000569
Bradley,0.000487,0.000487,0.000213,2.2878,1.0,0.000487
Campbell,0.000569,0.000569,0.000251,2.2682,1.0,0.000569
Cannon,0.001234,0.001234,0.000545,2.2648,1.0,0.001234
Carroll,0.001156,0.001156,0.000504,2.2926,1.0,0.001156
Carter,0.000899,0.000899,0.000372,2.4137,1.0,0.000899
Cheatham,0.000386,0.000386,0.000172,2.2433,1.0,0.000386
Chester,0.000834,0.000834,0.000347,2.4037,1.0,0.000834
Claiborne,0.000639,0.000639,0.000282,2.2699,1.0,0.000639
Clay,0.000312,0.000312,0.000131,2.3781,1.0,0.000312
Cocke,0.000674,0.000674,0.000278,2.4267,1.0,0.000674
Coffee,0.000701,0.000701,0.000301,2.3305,1.0,0.000701
Crockett,0.000618,0.000618,0.000281,2.2002,1.0,0.000618
Cumberland,0.000347,0.000347,0.000149,2.3347,1.0,0.000347
Davidson,0.000514,0.000514,0.000219,2.3493,1.0,0.000514
Decatur,0.000428,0.000428,0.000171,2.4931,1.0,0.000428
DeKalb,0.000947,0.000947,0.00039,2.4267,1.0,0.000947
Dickson,0.00065,0.00065,0.000278,2.3387,1.0,0.00065
Dyer,0.000326,0.000326,0.000135,2.4224,1.0,0.000326
Fayette,0.000953,0.000953,0.000389,2.4506,1.0,0.000953
Fentress,0.000612,0.000612,0.00027,2.2665,1.0,0.000612
Franklin,0.001302,0.001302,0.000545,2.3888,1.0,0.001302
Gibson,0.001299,0.001299,0.00055,2.3646,1.0,0.001299
Giles,0.000792,0.000792,0.000339,2.3333,1.0,0.000792
Grainger,0.000285,0.000285,0.000129,2.2176,1.0,0.000285
Greene,0.000735,0.000735,0.000319,2.3062,1.0,0.000735
Grundy,0.000499,0.000499,0.000223,2.2318,1.0,0.000499
Hamblen,0.000699,0.000699,0.000308,2.2682,1.0,0.000699
Hamilton,0.000552,0.000552,0.000228,2.4181,1.0,0.000552
Hancock,0.001454,0.001454,0.000604,2.4071,1.0,0.001454
Hardeman,0.000926,0.000926,0.000359,2.5765,1.0,0.000926
Hardin,0.000668,0.000668,0.000273,2.4476,1.0,0.000668
Hawkins,0.000866,0.000866,0.00037,2.3414,1.0,0.000866
Haywood,0.001109,0.001109,0.000462,2.3992,1.0,0.001109
Henderson,0.000493,0.000493,0.000213,2.3107,1.0,0.000493
Henry,0.000871,0.000871,0.000371,2.348,1.0,0.000871
Hickman,0.000456,0.000456,0.000199,2.2956,1.0,0.000456
Houston,0.000597,0.000597,0.000244,2.4496,1.0,0.000597
Humphreys,0.000372,0.000372,0.000161,2.3062,1.0,0.000372
