Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002989,0.002989,0.001258,2.3757,1.0,0.002989
Abbeville,0.004468,0.004468,0.001957,2.2831,1.0,0.004468
Aiken,0.002883,0.002883,0.001194,2.4148,1.0,0.002883
Allendale,0.000269,0.000269,0.000115,2.3374,1.0,0.000269
Anderson,0.00389,0.00389,0.001402,2.3923,1.1598,0.00389
Bamberg,0.001214,0.001214,0.000569,2.1349,1.0,0.001214
Barnwell,0.001682,0.001682,0.000719,2.34,1.0,0.001682
Beaufort,0.001708,0.001708,0.000713,2.3957,1.0,0.001708
Berkeley,0.000895,0.000895,0.000369,2.4289,1.0,0.000895
Calhoun,0.006917,0.006917,0.001443,2.3969,2.0,0.006917
Charleston,0.001275,0.001275,0.000532,2.3957,1.0,0.001275
Cherokee,0.005367,0.005367,0.001798,2.4003,1.2439,0.005367
Chester,0.004198,0.004198,0.001737,2.417,1.0,0.004198
Chesterfield,0.002741,0.002741,0.001205,2.2749,1.0,0.002741
Clarendon,0.002359,0.002359,0.001008,2.3414,1.0,0.002359
Colleton,0.001947,0.001947,0.000823,2.3658,1.0,0.001947
Darlington,0.002014,0.002014,0.000841,2.3957,1.0,0.002014
Dillon,0.011908,0.011908,0.00292,2.3633,1.7255,0.011908
Dorchester,0.001784,0.001784,0.000719,2.4828,1.0,0.001784
Edgefield,0.002692,0.002692,0.001137,2.3671,1.0,0.002692
Fairfield,0.004955,0.004955,0.002014,2.4048,1.0233,0.004955
Florence,0.002004,0.002004,0.000832,2.4093,1.0,0.002004
Georgetown,0.001997,0.001997,0.000862,2.3179,1.0,0.001997
Greenville,0.00427,0.00427,0.00153,2.3899,1.1679,0.00427
Greenwood,0.004302,0.004302,0.001723,2.3732,1.0522,0.004302
Hampton,0.002971,0.002971,0.000884,2.3092,1.4545,0.002971
Horry,0.002135,0.002135,0.000904,2.3621,1.0,0.002135
Jasper,0.000929,0.000929,0.000399,2.3278,1.0,0.000929
Kershaw,0.00443,0.00443,0.001848,2.3969,1.0,0.00443
Lancaster,0.003,0.003,0.001286,2.3333,1.0,0.003
Laurens,0.003421,0.003421,0.001452,2.3558,1.0,0.003421
Lee,0.00213,0.00213,0.000891,2.3899,1.0,0.00213
Lexington,0.004846,0.004846,0.002028,2.3852,1.0017,0.004846
McCormick,0.002535,0.002535,0.001057,2.3992,1.0,0.002535
Marion,0.00393,0.00393,0.00124,2.3136,1.3704,0.00393
Marlboro,0.002112,0.002112,0.000727,2.2578,1.2857,0.002112
Newberry,0.004246,0.004246,0.001847,2.2987,1.0,0.004246
Oconee,0.00246,0.00246,0.001031,2.3864,1.0,0.00246
Orangeburg,0.00214,0.00214,0.000917,2.3347,1.0,0.00214
Pickens,0.005031,0.005031,0.001442,2.4148,1.4444,0.005031
Richland,0.004444,0.004444,0.001729,2.3658,1.0862,0.004444
Saluda,0.002011,0.002011,0.000879,2.2878,1.0,0.002011
Spartanburg,0.006758,0.006758,0.00207,2.3805,1.3714,0.006758
Sumter,0.003355,0.003355,0.001349,2.4516,1.0142,0.003355
Union,0.005134,0.005134,0.00205,2.3222,1.0784,0.005134
Williamsburg,0.005722,0.005722,0.001383,2.3208,1.7826,0.005722
York,0.003609,0.003609,0.00126,2.3696,1.2089,0.003609
