Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.004972,0.004972,0.001912,2.2798,1.1407,0.004972
Adams,0.01053,0.01053,0.003637,2.3454,1.2344,0.01053
Alexander,0.00112,0.00112,0.000521,2.1509,1.0,0.00112
Bond,0.003585,0.003585,0.001644,2.181,1.0,0.003585
Boone,0.003707,0.003707,0.001531,2.2414,1.08,0.003707
Brown,0.01181,0.01181,0.004105,2.2134,1.3,0.01181
Bureau,0.003151,0.003151,0.001379,2.2847,1.0,0.003151
Calhoun,0.009889,0.009889,0.003798,2.6035,1.0,0.009889
Carroll,0.003667,0.003667,0.001398,2.3467,1.1176,0.003667
Cass,0.016624,0.016624,0.00354,2.348,2.0,0.016624
Champaign,0.004891,0.004891,0.002079,2.2766,1.0333,0.004891
Christian,0.007428,0.007428,0.002879,2.2716,1.1358,0.007428
Clark,0.004362,0.004362,0.001943,2.2451,1.0,0.004362
Clay,0.008666,0.008666,0.003413,2.3658,1.0732,0.008666
Clinton,0.003105,0.003105,0.001305,2.3805,1.0,0.003105
Coles,0.007599,0.007599,0.002588,2.4393,1.2037,0.007599
Cook,0.00471,0.00471,0.001787,2.256,1.1683,0.00471
Crawford,0.010434,0.010434,0.002357,2.2134,2.0,0.010434
Cumberland,0.002616,0.002616,0.001115,2.3467,1.0,0.002616
DeKalb,0.010568,0.010568,0.002774,2.325,1.6384,0.010568
De Witt,0.005525,0.005525,0.001663,2.2596,1.4706,0.005525
Douglas,0.004475,0.004475,0.001901,2.3545,1.0,0.004475
DuPage,0.005543,0.005543,0.001942,2.3414,1.2192,0.005543
Edgar,0.006439,0.006439,0.002739,2.1979,1.0698,0.006439
Edwards,0.004167,0.004167,0.001251,2.3793,1.4,0.004167
Effingham,0.004643,0.004643,0.001853,2.4257,1.0333,0.004643
Fayette,0.008206,0.008206,0.002578,2.181,1.4595,0.008206
Ford,0.006913,0.006913,0.002392,2.3121,1.25,0.006913
Franklin,0.006352,0.006352,0.00234,2.2878,1.1867,0.006352
Fulton,0.007062,0.007062,0.002563,2.2488,1.2254,0.007062
Gallatin,0.017662,0.017662,0.004143,2.4684,1.7273,0.017662
Greene,0.00507,0.00507,0.001619,2.5049,1.25,0.00507
Grundy,0.003615,0.003615,0.001528,2.3658,1.0,0.003615
Hamilton,0.007072,0.007072,0.002218,2.4383,1.3077,0.007072
Hancock,0.0084,0.0084,0.001807,2.3992,1.9375,0.0084
Hardin,0.015513,0.015513,0.003402,2.2798,2.0,0.015513
Henderson,0.012568,0.012568,0.002708,2.4566,1.8889,0.012568
Henry,0.005909,0.005909,0.002228,2.3077,1.1489,0.005909
Iroquois,0.002714,0.002714,0.001217,2.2298,1.0,0.002714
Jackson,0.005313,0.005313,0.001744,2.2376,1.3611,0.005313
Jasper,0.002165,0.002165,0.000937,2.3121,1.0,0.002165
Jefferson,0.003988,0.003988,0.001725,2.3121,1.0,0.003988
Jersey,0.004479,0.004479,0.001699,2.4893,1.0588,0.004479
Jo Daviess,0.003711,0.003711,0.00146,2.5423,1.0,0.003711
Johnson,0.011105,0.011105,0.003302,2.186,1.5385,0.011105
Kane,0.004338,0.004338,0.001773,2.2987,1.0643,0.004338
Kankakee,0.010456,0.010456,0.002776,2.3292,1.617,0.010456
Kendall,0.005191,0.005191,0.001923,2.372,1.1382,0.005191
Knox,0.003945,0.003945,0.001771,2.2278,1.0,0.003945
Lake,0.004539,0.004539,0.001875,2.3208,1.0432,0.004539
LaSalle,0.003776,0.003776,0.001555,2.2258,1.0909,0.003776
Lawrence,0.013414,0.013414,0.003891,2.1835,1.5789,0.013414
Lee,0.00999,0.00999,0.003109,2.2648,1.4189,0.00999
Livingston,0.008426,0.008426,0.002244,2.2337,1.6809,0.008426
Logan,0.009504,0.009504,0.003424,2.2318,1.2436,0.009504
McDonough,0.003708,0.003708,0.00128,2.2699,1.2759,0.003708
McHenry,0.004552,0.004552,0.001774,2.3305,1.101,0.004552
McLean,0.005342,0.005342,0.001901,2.3608,1.1905,0.005342
Macon,0.006901,0.006901,0.002932,2.3532,1.0,0.006901
Macoupin,0.003741,0.003741,0.00158,2.3671,1.0,0.003741
Madison,0.00501,0.00501,0.00162,2.2631,1.3666,0.00501
Marion,0.004925,0.004925,0.001613,2.2258,1.3721,0.004925
Marshall,0.008764,0.008764,0.002098,2.3608,1.7692,0.008764
Mason,0.00367,0.00367,0.001572,2.3347,1.0,0.00367
Massac,0.01905,0.01905,0.003776,2.5226,2.0,0.01905
Menard,0.008936,0.008936,0.003034,2.4546,1.2,0.008936
Mercer,0.003932,0.003932,0.00149,2.3992,1.1,0.003932
Monroe,0.003762,0.003762,0.00153,2.4586,1.0,0.003762
Montgomery,0.018117,0.018117,0.004434,2.2878,1.7857,0.018117
Morgan,0.004491,0.004491,0.001991,2.256,1.0,0.004491
Moultrie,0.006816,0.006816,0.001931,2.3532,1.5,0.006816
Ogle,0.003102,0.003102,0.001362,2.2766,1.0,0.003102
Peoria,0.005051,0.005051,0.002171,2.3264,1.0,0.005051
Perry,0.004872,0.004872,0.001721,2.1835,1.2963,0.004872
Piatt,0.016845,0.016845,0.004099,2.3658,1.7368,0.016845
Pike,0.004661,0.004661,0.002056,2.2665,1.0,0.004661
Pope,0.003606,0.003606,0.001436,2.5103,1.0,0.003606
Pulaski,0.005297,0.005297,0.001874,2.1979,1.2857,0.005297
Putnam,0.003986,0.003986,0.001742,2.2878,1.0,0.003986
Randolph,0.006569,0.006569,0.002486,2.2699,1.1642,0.006569
Richland,0.009373,0.009373,0.003159,2.5347,1.1707,0.009373
Rock Island,0.00373,0.00373,0.001522,2.336,1.0488,0.00373
St. Clair,0.004956,0.004956,0.00176,2.2543,1.2493,0.004956
Saline,0.006567,0.006567,0.002767,2.3732,1.0,0.006567
Sangamon,0.006969,0.006969,0.002784,2.4246,1.0324,0.006969
Schuyler,0.003627,0.003627,0.001625,2.2318,1.0,0.003627
Scott,0.016996,0.016996,0.003636,2.3374,2.0,0.016996
Shelby,0.005802,0.005802,0.002404,2.4137,1.0,0.005802
Stark,0.006016,0.006016,0.002621,2.2956,1.0,0.006016
Stephenson,0.003721,0.003721,0.001663,2.2069,1.0139,0.003721
Tazewell,0.005963,0.005963,0.002132,2.3374,1.1966,0.005963
Union,0.003937,0.003937,0.001681,2.168,1.08,0.003937
Vermilion,0.004723,0.004723,0.002086,2.2648,1.0,0.004723
Wabash,0.007984,0.007984,0.003125,2.336,1.0938,0.007984
Warren,0.005109,0.005109,0.001959,2.2002,1.1852,0.005109
Washington,0.002643,0.002643,0.001152,2.2941,1.0,0.002643
Wayne,0.004502,0.004502,0.00185,2.3493,1.0357,0.004502
White,0.013716,0.013716,0.00362,2.3683,1.6,0.013716
Whiteside,0.010089,0.010089,0.002556,2.256,1.75,0.010089
Will,0.004205,0.004205,0.001697,2.3278,1.0645,0.004205
Williamson,0.005623,0.005623,0.002493,2.256,1.0,0.005623
Winnebago,0.006338,0.006338,0.002307,2.3208,1.1836,0.006338
Woodford,0.003411,0.003411,0.001482,2.3017,1.0,0.003411
