Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002349,0.002349,0.001019,2.3062,1.0,0.002349
Aitkin,0.00216,0.00216,0.000944,2.2878,1.0,0.00216
Anoka,0.003139,0.003139,0.001208,2.3519,1.1054,0.003139
Becker,0.002071,0.002071,0.00093,2.2278,1.0,0.002071
Beltrami,0.003404,0.003404,0.001166,2.2716,1.2857,0.003404
Benton,0.003045,0.003045,0.001296,2.3493,1.0,0.003045
Big Stone,0.013933,0.013933,0.003206,2.3179,1.875,0.013933
Blue Earth,0.002335,0.002335,0.00102,2.2894,1.0,0.002335
Brown,0.001748,0.001748,0.00076,2.3002,1.0,0.001748
Carlton,0.004121,0.004121,0.001728,2.3841,1.0,0.004121
Carver,0.002671,0.002671,0.00099,2.3583,1.1444,0.002671
Cass,0.001735,0.001735,0.000772,2.247,1.0,0.001735
Chippewa,0.01109,0.01109,0.002712,2.3745,1.7222,0.01109
Chisago,0.002066,0.002066,0.000901,2.2926,1.0,0.002066
Clay,0.00269,0.00269,0.001168,2.3032,1.0,0.00269
Clearwater,0.007184,0.007184,0.001814,2.3757,1.6667,0.007184
Cook,0.0012,0.0012,0.000549,2.186,1.0,0.0012
Cottonwood,0.005306,0.005306,0.00134,2.2631,1.75,0.005306
Crow Wing,0.0024,0.0024,0.001061,2.2631,1.0,0.0024
Dakota,0.002572,0.002572,0.0011,2.3374,1.0,0.002572
Dodge,0.001314,0.001314,0.000573,2.2926,1.0,0.001314
Douglas,0.003292,0.003292,0.001416,2.325,1.0,0.003292
Faribault,0.001297,0.001297,0.000586,2.2134,1.0,0.001297
Fillmore,0.002655,0.002655,0.001139,2.3305,1.0,0.002655
Freeborn,0.003526,0.003526,0.000991,2.3319,1.5263,0.003526
Goodhue,0.001357,0.001357,0.000604,2.2451,1.0,0.001357
Grant,0.002638,0.002638,0.001172,2.2506,1.0,0.002638
Hennepin,0.002354,0.002354,0.001014,2.3222,1.0,0.002354
Houston,0.001211,0.001211,0.000538,2.2525,1.0,0.001211
Hubbard,0.005062,0.005062,0.001536,2.2665,1.4545,0.005062
Isanti,0.001406,0.001406,0.000616,2.2831,1.0,0.001406
Itasca,0.003274,0.003274,0.000975,2.2648,1.4828,0.003274
Jackson,0.002312,0.002312,0.001016,2.2766,1.0,0.002312
Kanabec,0.00334,0.00334,0.000979,2.2732,1.5,0.00334
Kandiyohi,0.003174,0.003174,0.001273,2.3545,1.0588,0.003174
Kittson,0.003162,0.003162,0.000698,2.2648,2.0,0.003162
Koochiching,0.001092,0.001092,0.000491,2.2258,1.0,0.001092
Lac qui Parle,0.005806,0.005806,0.002265,2.3805,1.0769,0.005806
Lake,0.001453,0.001453,0.000658,2.2091,1.0,0.001453
Lake of the Woods,0.002556,0.002556,0.00107,2.3899,1.0,0.002556
Le Sueur,0.001352,0.001352,0.000589,2.2972,1.0,0.001352
Lincoln,0.002443,0.002443,0.001064,2.2956,1.0,0.002443
Lyon,0.004029,0.004029,0.001492,2.336,1.1562,0.004029
McLeod,0.002942,0.002942,0.001282,2.2956,1.0,0.002942
Mahnomen,0.002407,0.002407,0.001086,2.2176,1.0,0.002407
Marshall,0.003011,0.003011,0.001392,2.1625,1.0,0.003011
Martin,0.004258,0.004258,0.001524,2.4082,1.16,0.004258
Meeker,0.001974,0.001974,0.000861,2.2926,1.0,0.001974
Mille Lacs,0.002424,0.002424,0.001066,2.2749,1.0,0.002424
Morrison,0.003703,0.003703,0.001617,2.2894,1.0,0.003703
Mower,0.004067,0.004067,0.001747,2.3278,1.0,0.004067
Murray,0.00134,0.00134,0.00061,2.1956,1.0,0.00134
Nicollet,0.001582,0.001582,0.000671,2.2506,1.0476,0.001582
Nobles,0.003914,0.003914,0.001295,2.2395,1.35,0.003914
Norman,0.001736,0.001736,0.000784,2.2134,1.0,0.001736
Olmsted,0.002598,0.002598,0.001093,2.3769,1.0,0.002598
Otter Tail,0.002257,0.002257,0.000987,2.2863,1.0,0.002257
Pennington,0.002383,0.002383,0.001062,2.2433,1.0,0.002383
Pine,0.002809,0.002809,0.001116,2.2814,1.1034,0.002809
Pipestone,0.003268,0.003268,0.001425,2.2941,1.0,0.003268
Polk,0.001702,0.001702,0.000765,2.2238,1.0,0.001702
Pope,0.004033,0.004033,0.001689,2.3876,1.0,0.004033
