Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001715,0.001715,0.000744,2.3047,1.0,0.001715
Ada,0.00208,0.00208,0.000912,2.2814,1.0,0.00208
Adams,0.00379,0.00379,0.001164,2.4414,1.3333,0.00379
Bannock,0.001352,0.001352,0.000581,2.3278,1.0,0.001352
Bear Lake,0.006308,0.006308,0.002449,2.5757,1.0,0.006308
Benewah,0.000744,0.000744,0.000323,2.3047,1.0,0.000744
Bingham,0.001108,0.001108,0.000491,2.256,1.0,0.001108
Blaine,0.002673,0.002673,0.001129,2.3671,1.0,0.002673
Boise,0.001498,0.001498,0.000638,2.3467,1.0,0.001498
Bonner,0.000988,0.000988,0.000415,2.3793,1.0,0.000988
Bonneville,0.001602,0.001602,0.000664,2.4148,1.0,0.001602
Boundary,0.003429,0.003429,0.001062,2.4224,1.3333,0.003429
Butte,0.01065,0.01065,0.00231,2.3047,2.0,0.01065
Camas,0.002084,0.002084,0.000904,2.3047,1.0,0.002084
Canyon,0.001799,0.001799,0.000783,2.2972,1.0,0.001799
Caribou,0.002781,0.002781,0.001118,2.4875,1.0,0.002781
Cassia,0.001087,0.001087,0.000499,2.1759,1.0,0.001087
Clark,0.002728,0.002728,0.001183,2.3047,1.0,0.002728
Clearwater,0.001152,0.001152,0.000457,2.5226,1.0,0.001152
Custer,0.000534,0.000534,0.000232,2.3047,1.0,0.000534
Elmore,0.00255,0.00255,0.001127,2.2631,1.0,0.00255
Franklin,0.004322,0.004322,0.000865,2.4986,2.0,0.004322
Fremont,0.000963,0.000963,0.000382,2.5226,1.0,0.000963
Gem,0.001471,0.001471,0.000663,2.2197,1.0,0.001471
Gooding,0.001917,0.001917,0.000791,2.2047,1.1,0.001917
Idaho,0.001418,0.001418,0.0006,2.3633,1.0,0.001418
Jefferson,0.000858,0.000858,0.000402,2.1349,1.0,0.000858
Jerome,0.001439,0.001439,0.000655,2.1956,1.0,0.001439
Kootenai,0.001651,0.001651,0.000676,2.4424,1.0,0.001651
Latah,0.000874,0.000874,0.000374,2.3374,1.0,0.000874
Lemhi,0.001115,0.001115,0.000498,2.2376,1.0,0.001115
Lewis,0.004815,0.004815,0.001824,2.6401,1.0,0.004815
Lincoln,0.000401,0.000401,0.000186,2.1509,1.0,0.000401
Madison,0.001132,0.001132,0.000426,2.6583,1.0,0.001132
Minidoka,0.001381,0.001381,0.000618,2.2357,1.0,0.001381
Nez Perce,0.002031,0.002031,0.000866,2.3454,1.0,0.002031
Oneida,0.002035,0.002035,0.000883,2.3047,1.0,0.002035
Owyhee,0.001035,0.001035,0.000423,2.4476,1.0,0.001035
Payette,0.002088,0.002088,0.000919,2.2732,1.0,0.002088
Power,0.001981,0.001981,0.000781,2.5364,1.0,0.001981
Shoshone,0.001299,0.001299,0.000543,2.3899,1.0,0.001299
Teton,0.001519,0.001519,0.000659,2.3047,1.0,0.001519
Twin Falls,0.002713,0.002713,0.001197,2.2665,1.0,0.002713
Valley,0.001184,0.001184,0.000527,2.2488,1.0,0.001184
Washington,0.001298,0.001298,0.000589,2.2047,1.0,0.001298
