Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003,0.003,0.001061,2.291,1.2342,0.003
Beaverhead,0.002361,0.002361,0.000635,2.2318,1.6667,0.002361
Big Horn,0.012451,0.012451,0.002703,2.3032,2.0,0.012451
Blaine,0.002941,0.002941,0.001347,2.1835,1.0,0.002941
Broadwater,0.005986,0.005986,0.001283,2.3333,2.0,0.005986
Carbon,0.003956,0.003956,0.000932,2.357,1.8,0.003956
Carter,0.007319,0.007319,0.003195,2.291,1.0,0.007319
Cascade,0.004804,0.004804,0.001844,2.291,1.1374,0.004804
Chouteau,0.03187,0.03187,0.005856,2.721,2.0,0.03187
Custer,0.006336,0.006336,0.001579,2.3608,1.7,0.006336
Daniels,0.004067,0.004067,0.001775,2.291,1.0,0.004067
Dawson,0.003513,0.003513,0.001509,2.3278,1.0,0.003513
Deer Lodge,0.002648,0.002648,0.001204,2.2002,1.0,0.002648
Fallon,0.005635,0.005635,0.00246,2.291,1.0,0.005635
Fergus,0.003902,0.003902,0.000995,2.3519,1.6667,0.003902
Flathead,0.003841,0.003841,0.000992,2.315,1.6721,0.003841
Gallatin,0.002258,0.002258,0.000856,2.2831,1.1548,0.002258
Garfield,0.001821,0.001821,0.000795,2.291,1.0,0.001821
Glacier,Unknown,Unknown,0.000873,2.1045,1.0,0.001836
Golden Valley,0.00279,0.00279,0.001218,2.291,1.0,0.00279
Granite,0.001356,0.001356,0.000592,2.291,1.0,0.001356
Hill,0.001636,0.001636,0.000728,2.247,1.0,0.001636
Jefferson,0.003925,0.003925,0.001146,2.6358,1.3,0.003925
Judith Basin,0.002283,0.002283,0.000997,2.291,1.0,0.002283
Lake,0.002369,0.002369,0.000952,2.3107,1.0769,0.002369
Lewis and Clark,0.003195,0.003195,0.001051,2.6169,1.1613,0.003195
Liberty,0.004578,0.004578,0.001712,2.6747,1.0,0.004578
Lincoln,0.001955,0.001955,0.000851,2.2972,1.0,0.001955
McCone,0.002754,0.002754,0.001202,2.291,1.0,0.002754
Madison,0.001989,0.001989,0.00093,2.1383,1.0,0.001989
Meagher,0.00123,0.00123,0.000537,2.291,1.0,0.00123
Mineral,0.002208,0.002208,0.00091,2.4267,1.0,0.002208
Missoula,0.002331,0.002331,0.000602,2.291,1.6905,0.002331
Musselshell,0.005561,0.005561,0.001511,2.4536,1.5,0.005561
Park,0.001321,0.001321,0.000542,2.4373,1.0,0.001321
Petroleum,0.004704,0.004704,0.002053,2.291,1.0,0.004704
Phillips,0.000579,0.000579,0.000253,2.291,1.0,0.000579
Pondera,0.011627,0.011627,0.002538,2.291,2.0,0.011627
Powder River,0.00681,0.00681,0.002973,2.291,1.0,0.00681
Powell,0.002084,0.002084,0.000871,2.3934,1.0,0.002084
Prairie,0.002127,0.002127,0.000929,2.291,1.0,0.002127
Ravalli,0.0009,0.0009,0.000411,2.1908,1.0,0.0009
Richland,0.009687,0.009687,0.002129,2.2749,2.0,0.009687
Roosevelt,0.013115,0.013115,0.002817,2.3278,2.0,0.013115
Rosebud,0.003282,0.003282,0.001455,2.256,1.0,0.003282
Sanders,0.000363,0.000363,0.000165,2.2002,1.0,0.000363
Sheridan,0.002977,0.002977,0.001209,2.4626,1.0,0.002977
Silver Bow,0.002703,0.002703,0.001174,2.3017,1.0,0.002703
Stillwater,0.00178,0.00178,0.000622,2.2878,1.25,0.00178
Sweet Grass,0.001226,0.001226,0.000535,2.291,1.0,0.001226
Teton,0.010545,0.010545,0.002278,2.4931,1.8571,0.010545
Toole,0.007142,0.007142,0.001478,2.4159,2.0,0.007142
Treasure,0.003292,0.003292,0.001437,2.291,1.0,0.003292
Valley,0.002062,0.002062,0.000676,2.2878,1.3333,0.002062
Wheatland,0.003176,0.003176,0.001411,2.2506,1.0,0.003176
Wibaux,0.004729,0.004729,0.002064,2.291,1.0,0.004729
Yellowstone,0.00363,0.00363,0.001228,2.2217,1.3311,0.00363
