Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003397,0.003397,0.001429,2.3769,1.0,0.003397
Allen,0.010989,0.010989,0.004285,2.5645,1.0,0.010989
Anderson,0.006097,0.006097,0.001909,2.2814,1.4,0.006097
Atchison,0.002921,0.002921,0.001182,2.4713,1.0,0.002921
Barber,0.01466,0.01466,0.003162,2.3179,2.0,0.01466
Barton,0.006386,0.006386,0.001707,2.3493,1.5926,0.006386
Bourbon,0.002583,0.002583,0.001101,2.3467,1.0,0.002583
Brown,0.004572,0.004572,0.001673,2.5506,1.0714,0.004572
Butler,0.003693,0.003693,0.001614,2.2878,1.0,0.003693
Chase,0.0076,0.0076,0.003021,2.5156,1.0,0.0076
Chautauqua,0.001493,0.001493,0.000615,2.4267,1.0,0.001493
Cherokee,0.004774,0.004774,0.001906,2.5049,1.0,0.004774
Cheyenne,0.001789,0.001789,0.000753,2.3769,1.0,0.001789
Clark,0.018622,0.018622,0.004012,2.3208,2.0,0.018622
Clay,0.006352,0.006352,0.002624,2.4203,1.0,0.006352
Cloud,0.003892,0.003892,0.001593,2.4424,1.0,0.003892
Coffey,0.000299,0.000299,0.000122,2.4496,1.0,0.000299
Comanche,0.011185,0.011185,0.004706,2.3769,1.0,0.011185
Cowley,0.00285,0.00285,0.001232,2.3136,1.0,0.00285
Crawford,0.004712,0.004712,0.001803,2.348,1.1129,0.004712
Decatur,0.010094,0.010094,0.003537,2.8535,1.0,0.010094
Dickinson,0.009796,0.009796,0.003249,2.3506,1.2826,0.009796
Doniphan,0.003925,0.003925,0.001447,2.7115,1.0,0.003925
Douglas,0.003164,0.003164,0.001284,2.3374,1.0541,0.003164
Edwards,0.010194,0.010194,0.003217,2.3769,1.3333,0.010194
Elk,0.007516,0.007516,0.003162,2.3769,1.0,0.007516
Ellis,0.002901,0.002901,0.001191,2.4362,1.0,0.002901
Ellsworth,0.015779,0.015779,0.003278,2.4071,2.0,0.015779
Finney,0.003805,0.003805,0.001673,2.2749,1.0,0.003805
Ford,0.006337,0.006337,0.001398,2.2665,2.0,0.006337
Franklin,0.004941,0.004941,0.001957,2.4214,1.0426,0.004941
Geary,Unknown,Unknown,0.001516,2.3414,1.0,0.003549
Gove,0.001831,0.001831,0.000759,2.4137,1.0,0.001831
Graham,0.006247,0.006247,0.002417,2.5843,1.0,0.006247
Grant,0.007688,0.007688,0.003217,2.3899,1.0,0.007688
Gray,0.00501,0.00501,0.001837,2.4546,1.1111,0.00501
Greeley,0.003859,0.003859,0.001623,2.3769,1.0,0.003859
Greenwood,0.004743,0.004743,0.002006,2.3646,1.0,0.004743
Hamilton,0.002808,0.002808,0.001182,2.3769,1.0,0.002808
Harper,0.003125,0.003125,0.001288,2.4267,1.0,0.003125
Harvey,0.005116,0.005116,0.001685,2.291,1.3256,0.005116
Haskell,0.001704,0.001704,0.000756,2.2543,1.0,0.001704
Hodgeman,0.003975,0.003975,0.001672,2.3769,1.0,0.003975
Jackson,0.004159,0.004159,0.001746,2.3817,1.0,0.004159
Jefferson,0.002841,0.002841,0.001208,2.3519,1.0,0.002841
