Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.00557,0.00557,0.002312,2.3193,1.0388,0.00557
Albany,0.00187,0.00187,0.000818,2.2847,1.0,0.00187
Allegany,0.001073,0.001073,0.000477,2.247,1.0,0.001073
Bronx,0.007844,0.007844,0.003335,2.3519,1.0,0.007844
Broome,0.002189,0.002189,0.000966,2.2665,1.0,0.002189
Cattaraugus,0.001746,0.001746,0.000552,2.2376,1.4138,0.001746
Cayuga,0.001693,0.001693,0.00077,2.1979,1.0,0.001693
Chautauqua,0.001357,0.001357,0.000512,2.2766,1.1636,0.001357
Chemung,0.002572,0.002572,0.001126,2.2831,1.0,0.002572
Chenango,0.001735,0.001735,0.000763,2.2749,1.0,0.001735
Clinton,0.002658,0.002658,0.001155,2.3002,1.0,0.002658
Columbia,0.00181,0.00181,0.000757,2.3911,1.0,0.00181
Cortland,0.002107,0.002107,0.000946,2.2278,1.0,0.002107
Delaware,0.002055,0.002055,0.000816,2.2318,1.129,0.002055
Dutchess,0.004467,0.004467,0.001781,2.3545,1.0652,0.004467
Erie,0.00283,0.00283,0.000935,2.3532,1.2864,0.00283
Essex,0.001832,0.001832,0.000678,2.2525,1.2,0.001832
Franklin,0.004202,0.004202,0.00102,2.2258,1.8519,0.004202
Fulton,0.002393,0.002393,0.001049,2.2814,1.0,0.002393
Genesee,0.002652,0.002652,0.000908,2.291,1.275,0.002652
Greene,0.002269,0.002269,0.000954,2.3793,1.0,0.002269
Hamilton,0.001991,0.001991,0.000906,2.1979,1.0,0.001991
Herkimer,0.000887,0.000887,0.000408,2.1759,1.0,0.000887
Jefferson,0.002938,0.002938,0.001129,2.2217,1.1714,0.002938
Kings,0.006862,0.006862,0.002976,2.291,1.0065,0.006862
Lewis,0.002169,0.002169,0.000951,2.2814,1.0,0.002169
Livingston,0.001087,0.001087,0.000493,2.2069,1.0,0.001087
Madison,0.001626,0.001626,0.000691,2.256,1.0435,0.001626
Monroe,0.001988,0.001988,0.000839,2.2596,1.049,0.001988
Montgomery,0.001913,0.001913,0.000813,2.3545,1.0,0.001913
Nassau,0.007461,0.007461,0.003016,2.3532,1.0511,0.007461
New York,Unknown,Unknown,0.002842,2.3208,1.2704,0.008379
Niagara,0.001793,0.001793,0.000679,2.3427,1.128,0.001793
Oneida,0.001471,0.001471,0.000665,2.2134,1.0,0.001471
Onondaga,0.002044,0.002044,0.000771,2.2395,1.1839,0.002044
Ontario,0.002715,0.002715,0.001002,2.2376,1.2111,0.002715
Orange,0.006662,0.006662,0.002889,2.3062,1.0,0.006662
Orleans,0.000973,0.000973,0.000446,2.181,1.0,0.000973
Oswego,0.001683,0.001683,0.000751,2.2395,1.0,0.001683
Otsego,0.001049,0.001049,0.000471,2.2298,1.0,0.001049
Putnam,0.007274,0.007274,0.00241,2.34,1.2896,0.007274
Queens,0.007954,0.007954,0.003359,2.3683,1.0,0.007954
Rensselaer,0.00161,0.00161,0.000718,2.2414,1.0,0.00161
Richmond,0.008875,0.008875,0.003287,2.3222,1.1628,0.008875
Rockland,0.006182,0.006182,0.002284,2.3062,1.1738,0.006182
St. Lawrence,0.001546,0.001546,0.000603,2.2024,1.1636,0.001546
Saratoga,0.002443,0.002443,0.001035,2.2798,1.0349,0.002443
Schenectady,0.001838,0.001838,0.000811,2.2648,1.0,0.001838
Schoharie,0.001518,0.001518,0.000677,2.2414,1.0,0.001518
Schuyler,0.001102,0.001102,0.000505,2.181,1.0,0.001102
Seneca,0.004412,0.004412,0.001,2.2069,2.0,0.004412
Steuben,0.002451,0.002451,0.00108,2.2699,1.0,0.002451
Suffolk,0.00786,0.00786,0.003131,2.3583,1.0645,0.00786
Sullivan,0.003848,0.003848,0.001591,2.256,1.0721,0.003848
Tioga,0.002702,0.002702,0.001182,2.2847,1.0,0.002702
Tompkins,0.003084,0.003084,0.001145,2.2987,1.1717,0.003084
Ulster,0.00386,0.00386,0.001464,2.3107,1.141,0.00386
Warren,0.007565,0.007565,0.001955,2.2782,1.6986,0.007565
Washington,0.003901,0.003901,0.001405,2.2863,1.2143,0.003901
Wayne,0.001837,0.001837,0.000823,2.2318,1.0,0.001837
Westchester,0.005259,0.005259,0.002211,2.3374,1.0176,0.005259
Wyoming,0.001436,0.001436,0.000577,2.2631,1.1,0.001436
Yates,0.0008,0.0008,0.000361,2.2155,1.0,0.0008
