Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002573,0.002573,0.001044,2.4635,1.0,0.002573
Aurora,0.012466,0.012466,0.002545,2.4496,2.0,0.012466
Beadle,0.005864,0.005864,0.002439,2.4048,1.0,0.005864
Bennett,0.000695,0.000695,0.000297,2.3374,1.0,0.000695
Bon Homme,0.003087,0.003087,0.001304,2.3671,1.0,0.003087
Brookings,0.002368,0.002368,0.000884,2.5004,1.0714,0.002368
Brown,0.002583,0.002583,0.001004,2.5725,1.0,0.002583
Brule,0.002993,0.002993,0.001133,2.6422,1.0,0.002993
Buffalo,0.010569,0.010569,0.002039,2.5921,2.0,0.010569
Butte,0.001061,0.001061,0.000479,2.2134,1.0,0.001061
Campbell,0.001699,0.001699,0.000727,2.3374,1.0,0.001699
Charles Mix,0.004222,0.004222,0.001399,2.2631,1.3333,0.004222
Clark,0.002903,0.002903,0.001071,2.7115,1.0,0.002903
Clay,0.001253,0.001253,0.000498,2.5191,1.0,0.001253
Codington,0.005356,0.005356,0.001999,2.6788,1.0,0.005356
Corson,0.003789,0.003789,0.001224,2.3222,1.3333,0.003789
Custer,0.001252,0.001252,0.000557,2.247,1.0,0.001252
Davison,0.003252,0.003252,0.001315,2.4733,1.0,0.003252
Day,0.00295,0.00295,0.001106,2.6666,1.0,0.00295
Deuel,0.006466,0.006466,0.001609,2.6794,1.5,0.006466
Dewey,0.002163,0.002163,0.000679,2.1244,1.5,0.002163
Douglas,0.0008,0.0008,0.000342,2.3374,1.0,0.0008
Edmunds,0.00203,0.00203,0.000783,2.5913,1.0,0.00203
Fall River,0.002734,0.002734,0.001192,2.2941,1.0,0.002734
Faulk,0.004127,0.004127,0.00174,2.372,1.0,0.004127
Grant,0.005001,0.005001,0.001843,2.4865,1.0909,0.005001
Gregory,0.003062,0.003062,0.001195,2.5629,1.0,0.003062
Haakon,0.002595,0.002595,0.001053,2.4635,1.0,0.002595
Hamlin,0.002584,0.002584,0.000973,2.6549,1.0,0.002584
Hand,0.008764,0.008764,0.00188,2.3305,2.0,0.008764
Hanson,0.004466,0.004466,0.001158,2.5701,1.5,0.004466
Harding,0.001898,0.001898,0.00077,2.4635,1.0,0.001898
Hughes,0.001446,0.001446,0.000628,2.3032,1.0,0.001446
Hutchinson,0.006811,0.006811,0.002057,2.3646,1.4,0.006811
Hyde,0.001894,0.001894,0.000769,2.4635,1.0,0.001894
Jackson,0.001319,0.001319,0.000598,2.2047,1.0,0.001319
Jerauld,0.014686,0.014686,0.002981,2.4635,2.0,0.014686
Jones,0.002728,0.002728,0.001107,2.4635,1.0,0.002728
Kingsbury,0.001003,0.001003,0.000405,2.4771,1.0,0.001003
Lake,0.001586,0.001586,0.000625,2.5364,1.0,0.001586
Lawrence,0.003314,0.003314,0.00089,2.3696,1.5714,0.003314
Lincoln,0.001957,0.001957,0.000785,2.4921,1.0,0.001957
Lyman,0.003272,0.003272,0.001322,2.4742,1.0,0.003272
McCook,0.002641,0.002641,0.000537,2.4586,2.0,0.002641
McPherson,0.00102,0.00102,0.00042,2.4267,1.0,0.00102
Marshall,0.003476,0.003476,0.001418,2.4506,1.0,0.003476
Meade,0.002855,0.002855,0.001094,2.348,1.1111,0.002855
Mellette,0.001094,0.001094,0.000485,2.2543,1.0,0.001094
Miner,0.001112,0.001112,0.000451,2.4635,1.0,0.001112
Minnehaha,0.003689,0.003689,0.001382,2.4976,1.0683,0.003689
Moody,0.001803,0.001803,0.00076,2.3708,1.0,0.001803
Oglala Lakota,0.008341,0.008341,0.001693,2.4635,2.0,0.008341
Pennington,0.001752,0.001752,0.000765,2.291,1.0,0.001752
Perkins,0.00172,0.00172,0.000698,2.4635,1.0,0.00172
Potter,0.002094,0.002094,0.000929,2.2543,1.0,0.002094
Roberts,0.001999,0.001999,0.000866,2.3092,1.0,0.001999
Sanborn,0.002039,0.002039,0.000853,2.3899,1.0,0.002039
Spink,0.002854,0.002854,0.001098,2.5997,1.0,0.002854
Stanley,0.00141,0.00141,0.000646,2.1835,1.0,0.00141
Sully,0.005313,0.005313,0.002157,2.4635,1.0,0.005313
Todd,0.001062,0.001062,0.000491,2.1625,1.0,0.001062
Tripp,0.00423,0.00423,0.001838,2.3017,1.0,0.00423
Turner,0.001226,0.001226,0.000477,2.5701,1.0,0.001226
Union,0.002152,0.002152,0.000816,2.6372,1.0,0.002152
Walworth,0.004507,0.004507,0.00184,2.4496,1.0,0.004507
Yankton,0.003901,0.003901,0.001534,2.3934,1.0625,0.003901
Ziebach,0.001723,0.001723,0.000726,2.3745,1.0,0.001723
