Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003288,0.003288,0.00141,2.3319,1.0,0.003288
Adair,0.003363,0.003363,0.001352,2.3165,1.0741,0.003363
Alfalfa,0.001227,0.001227,0.000526,2.3319,1.0,0.001227
Atoka,0.001452,0.001452,0.000654,2.2197,1.0,0.001452
Beaver,0.000878,0.000878,0.000377,2.3319,1.0,0.000878
Beckham,0.0032,0.0032,0.001372,2.3319,1.0,0.0032
Blaine,0.008012,0.008012,0.001697,2.3608,2.0,0.008012
Bryan,0.008988,0.008988,0.002584,2.4606,1.4138,0.008988
Caddo,0.00459,0.00459,0.002051,2.2376,1.0,0.00459
Canadian,0.002526,0.002526,0.001072,2.3558,1.0,0.002526
Carter,0.005527,0.005527,0.002349,2.3532,1.0,0.005527
Cherokee,0.005818,0.005818,0.001685,2.344,1.4727,0.005818
Choctaw,0.007773,0.007773,0.001908,2.4137,1.6875,0.007773
Cimarron,0.006547,0.006547,0.001872,2.3319,1.5,0.006547
Cleveland,0.003252,0.003252,0.001373,2.3683,1.0,0.003252
Coal,0.001625,0.001625,0.000728,2.2318,1.0,0.001625
Comanche,0.005158,0.005158,0.001781,2.2878,1.2663,0.005158
Cotton,0.013839,0.013839,0.003,2.3062,2.0,0.013839
Craig,0.006799,0.006799,0.00297,2.2894,1.0,0.006799
Creek,0.003723,0.003723,0.001552,2.3333,1.028,0.003723
Custer,0.00378,0.00378,0.001689,2.2376,1.0,0.00378
Delaware,0.002912,0.002912,0.001256,2.3193,1.0,0.002912
Dewey,0.00143,0.00143,0.000613,2.3319,1.0,0.00143
Ellis,0.004316,0.004316,0.001814,2.3793,1.0,0.004316
Garfield,0.004775,0.004775,0.001065,2.3829,1.8824,0.004775
Garvin,0.005588,0.005588,0.001804,2.3387,1.3243,0.005588
Grady,0.004492,0.004492,0.002006,2.2395,1.0,0.004492
Grant,0.004305,0.004305,0.000923,2.3319,2.0,0.004305
Greer,0.004899,0.004899,0.002101,2.3319,1.0,0.004899
Harmon,0.010548,0.010548,0.004523,2.3319,1.0,0.010548
Harper,0.003722,0.003722,0.000813,2.2878,2.0,0.003722
Haskell,0.001056,0.001056,0.000475,2.2217,1.0,0.001056
Hughes,0.001959,0.001959,0.000828,2.3646,1.0,0.001959
Jackson,0.003768,0.003768,0.001671,2.2543,1.0,0.003768
Jefferson,0.007128,0.007128,0.0015,2.3769,2.0,0.007128
Johnston,0.007214,0.007214,0.002706,2.3899,1.1154,0.007214
Kay,0.02482,0.02482,0.005421,2.2894,2.0,0.02482
Kingfisher,0.002606,0.002606,0.000951,2.348,1.1667,0.002606
Kiowa,0.015503,0.015503,0.004249,2.2298,1.6364,0.015503
Latimer,0.0066,0.0066,0.00139,2.3745,2.0,0.0066
Le Flore,0.004793,0.004793,0.001444,2.4771,1.3396,0.004793
Lincoln,0.00384,0.00384,0.001663,2.3092,1.0,0.00384
Logan,0.002192,0.002192,0.000916,2.3923,1.0,0.002192
Love,0.005581,0.005581,0.002341,2.3841,1.0,0.005581
McClain,0.022798,0.022798,0.00593,2.3165,1.6597,0.022798
McCurtain,0.004629,0.004629,0.001949,2.3745,1.0,0.004629
McIntosh,0.001848,0.001848,0.000561,2.3047,1.4286,0.001848
Major,0.000306,0.000306,0.000131,2.3319,1.0,0.000306
Marshall,0.005338,0.005338,0.002363,2.2596,1.0,0.005338
Mayes,0.003261,0.003261,0.001436,2.2716,1.0,0.003261
Murray,0.009343,0.009343,0.003979,2.348,1.0,0.009343
Muskogee,0.002531,0.002531,0.001118,2.2648,1.0,0.002531
Noble,0.001273,0.001273,0.000539,2.3608,1.0,0.001273
Nowata,0.002096,0.002096,0.000893,2.3467,1.0,0.002096
Okfuskee,0.002815,0.002815,0.001251,2.2506,1.0,0.002815
Oklahoma,0.002542,0.002542,0.001078,2.357,1.0,0.002542
Okmulgee,0.00214,0.00214,0.00091,2.3519,1.0,0.00214
Osage,0.003449,0.003449,0.001512,2.2814,1.0,0.003449
Ottawa,0.011687,0.011687,0.003213,2.315,1.5714,0.011687
Pawnee,0.003475,0.003475,0.001527,2.2766,1.0,0.003475
Payne,0.002669,0.002669,0.001137,2.3467,1.0,0.002669
Pittsburg,0.00331,0.00331,0.00142,2.3305,1.0,0.00331
Pontotoc,0.00339,0.00339,0.001515,2.2376,1.0,0.00339
Pottawatomie,0.004595,0.004595,0.002011,2.2847,1.0,0.004595
Pushmataha,0.002094,0.002094,0.000901,2.3236,1.0,0.002094
Roger Mills,0.005207,0.005207,0.002233,2.3319,1.0,0.005207
Rogers,0.002563,0.002563,0.001103,2.3236,1.0,0.002563
Seminole,0.003144,0.003144,0.001402,2.2433,1.0,0.003144
Sequoyah,0.004752,0.004752,0.001347,2.4373,1.4474,0.004752
Stephens,0.004206,0.004206,0.00146,2.2298,1.2917,0.004206
Texas,0.003579,0.003579,0.001201,2.3319,1.2778,0.003579
Tillman,0.007661,0.007661,0.002759,2.4847,1.1176,0.007661
Tulsa,0.003277,0.003277,0.001389,2.3596,1.0,0.003277
Wagoner,0.003431,0.003431,0.001439,2.3841,1.0,0.003431
Washington,0.002865,0.002865,0.001242,2.3062,1.0,0.002865
Washita,0.004913,0.004913,0.002107,2.3319,1.0,0.004913
Woods,0.003182,0.003182,0.001365,2.3319,1.0,0.003182
Woodward,0.001822,0.001822,0.000792,2.3017,1.0,0.001822
