Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002196,0.002196,0.000925,2.3454,1.0123,0.002196
Appling,0.003536,0.003536,0.000761,2.3222,2.0,0.003536
Atkinson,0.001723,0.001723,0.00049,2.3454,1.5,0.001723
Bacon,0.001793,0.001793,0.000717,2.5022,1.0,0.001793
Baker,0.000772,0.000772,0.000329,2.3454,1.0,0.000772
Baldwin,0.0031,0.0031,0.000668,2.3992,1.9333,0.0031
Banks,0.000605,0.000605,0.00026,2.3292,1.0,0.000605
Barrow,0.003868,0.003868,0.001285,2.4414,1.2326,0.003868
Bartow,0.002096,0.002096,0.000882,2.3769,1.0,0.002096
Ben Hill,0.00324,0.00324,0.000719,2.2543,2.0,0.00324
Berrien,0.00172,0.00172,0.000722,2.2002,1.0833,0.00172
Bibb,0.003443,0.003443,0.001058,2.3658,1.3761,0.003443
Bleckley,0.003998,0.003998,0.00101,2.3092,1.7143,0.003998
Brantley,0.000579,0.000579,0.000262,2.2134,1.0,0.000579
Brooks,0.001993,0.001993,0.000647,2.3957,1.2857,0.001993
Bryan,0.001601,0.001601,0.000631,2.5381,1.0,0.001601
Bulloch,0.000566,0.000566,0.000239,2.372,1.0,0.000566
Burke,0.002784,0.002784,0.000849,2.3683,1.3846,0.002784
Butts,0.004244,0.004244,0.001083,2.2613,1.7333,0.004244
Calhoun,0.00036,0.00036,0.000162,2.2258,1.0,0.00036
Camden,0.000579,0.000579,0.000256,2.2596,1.0,0.000579
Candler,0.000217,0.000217,9.3e-05,2.3454,1.0,0.000217
Carroll,0.001627,0.001627,0.0007,2.3236,1.0,0.001627
Catoosa,0.000786,0.000786,0.00034,2.3092,1.0,0.000786
Charlton,0.001571,0.001571,0.000672,2.3374,1.0,0.001571
Chatham,0.001521,0.001521,0.000598,2.544,1.0,0.001521
Chattahoochee,Unknown,Unknown,0.000642,2.3899,1.2,0.001841
Chattooga,0.000542,0.000542,0.000242,2.2376,1.0,0.000542
Cherokee,0.001701,0.001701,0.000719,2.3658,1.0,0.001701
Clarke,0.002374,0.002374,0.000756,2.3888,1.3151,0.002374
Clay,0.002483,0.002483,0.001059,2.3454,1.0,0.002483
Clayton,0.002212,0.002212,0.000852,2.3136,1.1222,0.002212
Clinch,0.001043,0.001043,0.000453,2.3017,1.0,0.001043
Cobb,0.002086,0.002086,0.000872,2.3911,1.0,0.002086
Coffee,0.000558,0.000558,0.000231,2.4148,1.0,0.000558
Colquitt,0.001969,0.001969,0.000504,2.3062,1.6923,0.001969
Columbia,0.006125,0.006125,0.001251,2.4486,2.0,0.006125
Cook,0.005388,0.005388,0.001216,2.2155,2.0,0.005388
Coweta,0.002855,0.002855,0.001084,2.4192,1.0884,0.002855
Crawford,0.003263,0.003263,0.001129,2.4465,1.1818,0.003263
Crisp,0.002835,0.002835,0.000626,2.2648,2.0,0.002835
Dade,0.000873,0.000873,0.000372,2.3454,1.0,0.000873
Dawson,0.001785,0.001785,0.000766,2.3305,1.0,0.001785
Decatur,0.000844,0.000844,0.000379,2.2278,1.0,0.000844
