Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.00213,0.00213,0.000944,2.256,1.0,0.00213
Baker,0.001235,0.001235,0.000558,2.2134,1.0,0.001235
Benton,0.003468,0.003468,0.001236,2.3136,1.2128,0.003468
Clackamas,0.00196,0.00196,0.000861,2.2766,1.0,0.00196
Clatsop,0.000894,0.000894,0.000398,2.247,1.0,0.000894
Columbia,0.001111,0.001111,0.000497,2.2376,1.0,0.001111
Coos,0.003924,0.003924,0.001551,2.2749,1.1124,0.003924
Crook,0.001966,0.001966,0.000901,2.181,1.0,0.001966
Curry,0.000778,0.000778,0.000349,2.2298,1.0,0.000778
Deschutes,0.001711,0.001711,0.000764,2.2395,1.0,0.001711
Douglas,0.001652,0.001652,0.000748,2.2091,1.0,0.001652
Gilliam,0.002408,0.002408,0.001046,2.3017,1.0,0.002408
Grant,0.004722,0.004722,0.001111,2.1244,2.0,0.004722
Harney,0.00029,0.00029,0.000135,2.1447,1.0,0.00029
Hood River,0.003088,0.003088,0.000984,2.2831,1.375,0.003088
Jackson,0.002644,0.002644,0.00115,2.3002,1.0,0.002644
Jefferson,0.004241,0.004241,0.001866,2.2732,1.0,0.004241
Josephine,0.002668,0.002668,0.001177,2.2665,1.0,0.002668
Klamath,0.001716,0.001716,0.000777,2.2091,1.0,0.001716
Lake,0.00114,0.00114,0.000508,2.2433,1.0,0.00114
Lane,0.002956,0.002956,0.001194,2.2318,1.1098,0.002956
Lincoln,0.002607,0.002607,0.000921,2.2024,1.2857,0.002607
Linn,0.003487,0.003487,0.001318,2.2414,1.1806,0.003487
Malheur,0.002237,0.002237,0.000981,2.2798,1.0,0.002237
Marion,0.001815,0.001815,0.000808,2.247,1.0,0.001815
Morrow,0.002707,0.002707,0.000603,2.2433,2.0,0.002707
Multnomah,0.002331,0.002331,0.001031,2.2613,1.0,0.002331
Polk,0.002612,0.002612,0.00115,2.2716,1.0,0.002612
Sherman,0.001267,0.001267,0.000562,2.256,1.0,0.001267
Tillamook,0.002003,0.002003,0.000777,2.5788,1.0,0.002003
Umatilla,0.001338,0.001338,0.000603,2.2197,1.0,0.001338
Union,0.00111,0.00111,0.000522,2.128,1.0,0.00111
Wallowa,0.001835,0.001835,0.000832,2.2047,1.0,0.001835
Wasco,0.002048,0.002048,0.000937,2.186,1.0,0.002048
Washington,0.0018,0.0018,0.000791,2.2749,1.0,0.0018
Wheeler,0.07784,0.07784,0.015015,2.5921,2.0,0.07784
Yamhill,0.001937,0.001937,0.000878,2.2069,1.0,0.001937
