Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003348,0.003348,0.001297,2.344,1.1013,0.003348
Alcona,0.000219,0.000219,9.6e-05,2.2831,1.0,0.000219
Alger,0.001043,0.001043,0.000439,2.3745,1.0,0.001043
Allegan,0.003148,0.003148,0.001025,2.3805,1.2903,0.003148
Alpena,0.003237,0.003237,0.001162,2.3506,1.1852,0.003237
Antrim,0.001845,0.001845,0.000514,2.2814,1.5714,0.001845
Arenac,0.005679,0.005679,0.001209,2.348,2.0,0.005679
Baraga,0.006527,0.006527,0.002315,2.1932,1.2857,0.006527
Barry,0.002919,0.002919,0.00091,2.3333,1.375,0.002919
Bay,0.002081,0.002081,0.000785,2.3519,1.1268,0.002081
Benzie,0.001168,0.001168,0.000507,2.3062,1.0,0.001168
Berrien,0.003331,0.003331,0.001369,2.4331,1.0,0.003331
Branch,0.002573,0.002573,0.001126,2.2847,1.0,0.002573
Calhoun,0.003542,0.003542,0.001386,2.3062,1.1078,0.003542
Cass,0.003561,0.003561,0.001159,2.344,1.3111,0.003561
Charlevoix,0.001335,0.001335,0.000497,2.2376,1.2,0.001335
Cheboygan,0.001921,0.001921,0.000593,2.3121,1.4,0.001921
Chippewa,0.000858,0.000858,0.000375,2.2878,1.0,0.000858
Clare,0.001205,0.001205,0.000517,2.3305,1.0,0.001205
Clinton,0.00321,0.00321,0.001357,2.3658,1.0,0.00321
Crawford,0.004394,0.004394,0.000927,2.3708,2.0,0.004394
Delta,0.007869,0.007869,0.002208,2.3305,1.5294,0.007869
Dickinson,0.011444,0.011444,0.002575,2.2217,2.0,0.011444
Eaton,0.00328,0.00328,0.001324,2.3745,1.0432,0.00328
Emmet,0.001574,0.001574,0.000658,2.2766,1.05,0.001574
Genesee,0.002924,0.002924,0.001166,2.3493,1.0679,0.002924
Gladwin,0.001466,0.001466,0.000629,2.3319,1.0,0.001466
Gogebic,0.004716,0.004716,0.00186,2.3319,1.087,0.004716
Grand Traverse,0.003165,0.003165,0.001021,2.4414,1.2703,0.003165
Gratiot,0.002165,0.002165,0.000712,2.1707,1.4,0.002165
Hillsdale,0.002414,0.002414,0.001031,2.3427,1.0,0.002414
Houghton,0.001389,0.001389,0.000617,2.2525,1.0,0.001389
Huron,0.003804,0.003804,0.001162,2.432,1.3462,0.003804
Ingham,0.003371,0.003371,0.001286,2.3769,1.1029,0.003371
Ionia,0.006015,0.006015,0.001561,2.3888,1.6129,0.006015
Iosco,0.00166,0.00166,0.000438,2.2749,1.6667,0.00166
Iron,0.008003,0.008003,0.001717,2.3305,2.0,0.008003
Isabella,0.000714,0.000714,0.000315,2.2665,1.0,0.000714
Jackson,0.004268,0.004268,0.001615,2.3319,1.1333,0.004268
Kalamazoo,0.004406,0.004406,0.001377,2.4352,1.3141,0.004406
Kalkaska,0.004062,0.004062,0.000998,2.3946,1.7,0.004062
Kent,0.002561,0.002561,0.001012,2.3545,1.0744,0.002561
Keweenaw,0.002104,0.002104,0.000945,2.2258,1.0,0.002104
Lake,0.003507,0.003507,0.000844,2.3092,1.8,0.003507
