Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.010284,0.010284,0.003931,2.616,1.0,0.010284
Australian Capital Territory,Unknown,Unknown,0.007057,2.616,1.1571,0.021361
New South Wales,Unknown,Unknown,0.005011,2.616,1.0125,0.013273
Northern Territory,Unknown,Unknown,0.003412,2.616,1.0182,0.009089
Queensland,Unknown,Unknown,0.002995,2.616,1.2487,0.009783
South Australia,Unknown,Unknown,0.006975,2.616,1.1546,0.021066
Tasmania,Unknown,Unknown,0.007528,2.616,1.019,0.020066
Victoria,Unknown,Unknown,0.003706,2.616,1.0,0.009694
Western Australia,Unknown,Unknown,0.0,2.616,1.0,1e-06
