Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002507,0.002507,0.001016,2.325,1.0609,0.002507
Acadia,0.001006,0.001006,0.000387,2.2613,1.15,0.001006
Allen,0.000617,0.000617,0.000273,2.2578,1.0,0.000617
Ascension,0.001961,0.001961,0.000806,2.3136,1.0521,0.001961
Assumption,0.001348,0.001348,0.000594,2.2699,1.0,0.001348
Avoyelles,0.004325,0.004325,0.001295,2.357,1.4167,0.004325
Beauregard,0.00235,0.00235,0.000987,2.315,1.0286,0.00235
Bienville,0.004822,0.004822,0.001435,2.4267,1.3846,0.004822
Bossier,0.003875,0.003875,0.001661,2.3333,1.0,0.003875
Caddo,0.004234,0.004234,0.001765,2.3305,1.0292,0.004234
Calcasieu,0.002563,0.002563,0.000811,2.3121,1.3667,0.002563
Caldwell,0.004399,0.004399,0.001311,2.2376,1.5,0.004399
Cameron,0.002667,0.002667,0.000574,2.325,2.0,0.002667
Catahoula,0.002785,0.002785,0.000843,2.3608,1.4,0.002785
Claiborne,0.002242,0.002242,0.000702,2.2357,1.4286,0.002242
Concordia,0.001589,0.001589,0.000623,2.3179,1.1,0.001589
De Soto,0.003733,0.003733,0.001639,2.2782,1.0,0.003733
East Baton Rouge,0.001634,0.001634,0.0007,2.3347,1.0,0.001634
East Carroll,0.006508,0.006508,0.002186,2.3387,1.2727,0.006508
East Feliciana,0.001791,0.001791,0.000784,2.2847,1.0,0.001791
Evangeline,0.001256,0.001256,0.000569,2.2069,1.0,0.001256
Franklin,0.005735,0.005735,0.002098,2.2665,1.2059,0.005735
Grant,0.004032,0.004032,0.001385,2.4267,1.2,0.004032
Iberia,0.001342,0.001342,0.000587,2.2863,1.0,0.001342
Iberville,0.001697,0.001697,0.000707,2.3992,1.0,0.001697
Jackson,0.00872,0.00872,0.001715,2.5423,2.0,0.00872
Jefferson,0.002168,0.002168,0.000932,2.3264,1.0,0.002168
Jefferson Davis,0.002223,0.002223,0.000606,2.2433,1.6364,0.002223
Lafayette,0.00265,0.00265,0.001117,2.372,1.0,0.00265
Lafourche,0.001422,0.001422,0.000625,2.2749,1.0,0.001422
LaSalle,0.002396,0.002396,0.000806,2.1625,1.375,0.002396
Lincoln,0.005104,0.005104,0.001112,2.2941,2.0,0.005104
Livingston,0.0028,0.0028,0.00071,2.3092,1.7069,0.0028
Madison,0.001158,0.001158,0.000274,2.1129,2.0,0.001158
Morehouse,0.001737,0.001737,0.000724,2.2596,1.0625,0.001737
Natchitoches,0.004829,0.004829,0.001572,2.3946,1.2826,0.004829
Orleans,0.002128,0.002128,0.000918,2.2798,1.0171,0.002128
Ouachita,0.004111,0.004111,0.001566,2.3179,1.1327,0.004111
Plaquemines,0.003764,0.003764,0.00125,2.3658,1.2727,0.003764
Pointe Coupee,0.001744,0.001744,0.00069,2.3467,1.0769,0.001744
Rapides,0.003443,0.003443,0.001466,2.3493,1.0,0.003443
Red River,0.003601,0.003601,0.001421,2.3032,1.1,0.003601
Richland,0.002896,0.002896,0.001292,2.2414,1.0,0.002896
Sabine,0.003375,0.003375,0.000921,2.2682,1.6154,0.003375
St. Bernard,0.003942,0.003942,0.001609,2.4506,1.0,0.003942
St. Charles,0.001778,0.001778,0.000716,2.3506,1.0571,0.001778
St. Helena,0.000442,0.000442,0.000197,2.2376,1.0,0.000442
St. James,0.006462,0.006462,0.001659,2.291,1.7,0.006462
St. John the Baptist,0.001887,0.001887,0.000677,2.2894,1.2174,0.001887
St. Landry,0.001736,0.001736,0.000767,2.2631,1.0,0.001736
St. Martin,0.001915,0.001915,0.000823,2.325,1.0,0.001915
St. Mary,0.001207,0.001207,0.000507,2.3829,1.0,0.001207
St. Tammany,0.002916,0.002916,0.00119,2.3864,1.0266,0.002916
Tangipahoa,0.004074,0.004074,0.001091,2.3278,1.6044,0.004074
Tensas,0.003187,0.003187,0.000923,2.3017,1.5,0.003187
Terrebonne,0.004632,0.004632,0.001313,2.4014,1.4694,0.004632
Union,0.001505,0.001505,0.000678,2.2176,1.0,0.001505
Vermilion,0.002345,0.002345,0.000823,2.3136,1.2308,0.002345
Vernon,0.001604,0.001604,0.000717,2.2376,1.0,0.001604
Washington,0.00362,0.00362,0.001082,2.2525,1.4848,0.00362
Webster,0.002622,0.002622,0.001148,2.2847,1.0,0.002622
West Baton Rouge,0.0038,0.0038,0.001134,2.3121,1.45,0.0038
West Carroll,0.02602,0.02602,0.00554,2.5473,1.8438,0.02602
West Feliciana,0.000699,0.000699,0.000321,2.1759,1.0,0.000699
Winn,0.003283,0.003283,0.001223,2.5174,1.0667,0.003283
