Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.00337,0.00337,0.001319,2.2956,1.1133,0.00337
Autauga,0.005413,0.005413,0.001718,2.3876,1.3194,0.005413
Baldwin,0.003527,0.003527,0.001214,2.3781,1.2217,0.003527
Barbour,0.003536,0.003536,0.00077,2.2972,2.0,0.003536
Bibb,0.001648,0.001648,0.000714,2.3062,1.0,0.001648
Blount,0.005763,0.005763,0.001556,2.4546,1.5085,0.005763
Bullock,0.00726,0.00726,0.001683,2.1568,2.0,0.00726
Butler,0.003671,0.003671,0.001388,2.5423,1.04,0.003671
Calhoun,0.00483,0.00483,0.001514,2.3136,1.379,0.00483
Chambers,0.004788,0.004788,0.001834,2.1315,1.2245,0.004788
Cherokee,0.006157,0.006157,0.002596,2.372,1.0,0.006157
Chilton,0.001355,0.001355,0.000585,2.315,1.0,0.001355
Choctaw,0.000547,0.000547,0.000238,2.2941,1.0,0.000547
Clarke,0.010381,0.010381,0.002117,2.5022,1.96,0.010381
Clay,0.00219,0.00219,0.000982,2.2298,1.0,0.00219
Cleburne,0.001215,0.001215,0.000537,2.2648,1.0,0.001215
Coffee,0.00468,0.00468,0.000974,2.4014,2.0,0.00468
Colbert,0.003306,0.003306,0.001448,2.2831,1.0,0.003306
Conecuh,0.001848,0.001848,0.000829,2.2298,1.0,0.001848
Coosa,0.006093,0.006093,0.002345,2.5989,1.0,0.006093
Covington,0.001507,0.001507,0.000702,2.1478,1.0,0.001507
Crenshaw,0.012507,0.012507,0.002541,2.4606,2.0,0.012507
Cullman,0.004155,0.004155,0.001504,2.2543,1.2255,0.004155
Dale,0.003643,0.003643,0.0012,2.4082,1.2609,0.003643
Dallas,0.003316,0.003316,0.001371,2.128,1.1364,0.003316
DeKalb,0.001993,0.001993,0.000853,2.336,1.0,0.001993
Elmore,0.003416,0.003416,0.001453,2.3506,1.0,0.003416
Escambia,0.001276,0.001276,0.000573,2.2258,1.0,0.001276
Etowah,0.004869,0.004869,0.001261,2.4424,1.5802,0.004869
Fayette,0.009432,0.009432,0.001902,2.48,2.0,0.009432
Franklin,0.003627,0.003627,0.001371,2.3305,1.1351,0.003627
Geneva,0.0027,0.0027,0.000761,2.4267,1.4615,0.0027
Greene,0.003727,0.003727,0.001603,2.1315,1.0909,0.003727
Hale,0.005542,0.005542,0.001843,2.4289,1.2381,0.005542
Henry,0.003519,0.003519,0.00093,2.5226,1.5,0.003519
Houston,0.003456,0.003456,0.000982,2.4257,1.4507,0.003456
Jackson,0.005669,0.005669,0.001879,2.357,1.28,0.005669
Jefferson,0.002902,0.002902,0.001286,2.256,1.0,0.002902
Lamar,0.002424,0.002424,0.001014,2.3899,1.0,0.002424
Lauderdale,0.002566,0.002566,0.001089,2.3558,1.0,0.002566
Lawrence,0.004147,0.004147,0.001093,2.3841,1.5909,0.004147
Lee,0.004881,0.004881,0.00141,2.3829,1.4528,0.004881
Limestone,0.003112,0.003112,0.001304,2.3305,1.024,0.003112
Lowndes,0.006817,0.006817,0.002056,2.2682,1.4615,0.006817
Macon,0.003435,0.003435,0.001494,2.2987,1.0,0.003435
Madison,0.003065,0.003065,0.001274,2.3957,1.0042,0.003065
Marengo,0.001876,0.001876,0.000848,2.2112,1.0,0.001876
Marion,0.012542,0.012542,0.002659,2.3583,2.0,0.012542
Marshall,0.003471,0.003471,0.001126,2.3683,1.3012,0.003471
Mobile,0.002888,0.002888,0.001077,2.3193,1.1562,0.002888
Monroe,0.003336,0.003336,0.001399,2.3852,1.0,0.003336
Montgomery,0.005159,0.005159,0.001991,2.2451,1.1538,0.005159
Morgan,0.003923,0.003923,0.001512,2.3923,1.0843,0.003923
Perry,0.003939,0.003939,0.001569,2.1244,1.1818,0.003939
Pickens,0.003352,0.003352,0.001204,2.1785,1.2778,0.003352
Pike,0.003252,0.003252,0.000755,2.3333,1.8462,0.003252
Randolph,0.001701,0.001701,0.000792,2.1478,1.0,0.001701
Russell,0.004379,0.004379,0.001156,2.3532,1.6098,0.004379
St. Clair,0.008127,0.008127,0.002067,2.4148,1.6283,0.008127
Shelby,0.002684,0.002684,0.001153,2.3278,1.0,0.002684
Sumter,0.000665,0.000665,0.000322,2.0675,1.0,0.000665
Talladega,0.002721,0.002721,0.0012,2.2665,1.0,0.002721
Tallapoosa,0.006124,0.006124,0.001858,2.3608,1.3962,0.006124
Tuscaloosa,0.003518,0.003518,0.001509,2.3305,1.0,0.003518
Walker,0.004187,0.004187,0.001464,2.3002,1.2432,0.004187
Washington,0.002938,0.002938,0.001225,2.398,1.0,0.002938
Wilcox,0.002604,0.002604,0.001157,2.2506,1.0,0.002604
Winston,0.011746,0.011746,0.002582,2.2749,2.0,0.011746
