Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.028516,0.028516,0.00831,2.9542,1.1616,0.028516
Cook Islands,Unknown,Unknown,5.7e-05,2.9542,1.0,0.000169
Niue,Unknown,Unknown,0.015758,2.9542,1.0,0.046551
