Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002451,0.002451,0.001068,2.2941,1.0,0.002451
Adams,0.002003,0.002003,0.000875,2.2878,1.0,0.002003
Alamosa,0.006737,0.006737,0.001971,2.315,1.4762,0.006737
Arapahoe,0.00223,0.00223,0.00097,2.2987,1.0,0.00223
Archuleta,0.001131,0.001131,0.000499,2.2665,1.0,0.001131
Baca,0.00267,0.00267,0.001117,2.3899,1.0,0.00267
Bent,0.01066,0.01066,0.002152,2.4771,2.0,0.01066
Boulder,0.002623,0.002623,0.001134,2.3121,1.0,0.002623
Broomfield,0.002157,0.002157,0.000937,2.3032,1.0,0.002157
Chaffee,0.000904,0.000904,0.000393,2.3002,1.0,0.000904
Cheyenne,0.001253,0.001253,0.000546,2.2941,1.0,0.001253
Clear Creek,0.00046,0.00046,0.000206,2.2318,1.0,0.00046
Conejos,0.002525,0.002525,0.001097,2.3017,1.0,0.002525
Costilla,0.003562,0.003562,0.001544,2.3077,1.0,0.003562
Crowley,0.003291,0.003291,0.00132,2.4931,1.0,0.003291
Custer,0.008362,0.008362,0.001776,2.3545,2.0,0.008362
Delta,0.002641,0.002641,0.000963,2.2699,1.2083,0.002641
Denver,0.002406,0.002406,0.001055,2.2814,1.0,0.002406
Dolores,0.002233,0.002233,0.000973,2.2941,1.0,0.002233
Douglas,0.002123,0.002123,0.000914,2.3222,1.0,0.002123
Eagle,0.001707,0.001707,0.000744,2.2956,1.0,0.001707
Elbert,0.001651,0.001651,0.000711,2.3222,1.0,0.001651
El Paso,0.00283,0.00283,0.00122,2.3193,1.0,0.00283
Fremont,0.003733,0.003733,0.00161,2.3193,1.0,0.003733
Garfield,0.003384,0.003384,0.001199,2.3062,1.2241,0.003384
Gilpin,0.004761,0.004761,0.000961,2.4771,2.0,0.004761
Grand,0.001295,0.001295,0.000572,2.2648,1.0,0.001295
Gunnison,0.000362,0.000362,0.000172,2.1088,1.0,0.000362
Hinsdale,0.002798,0.002798,0.00122,2.2941,1.0,0.002798
Huerfano,0.001902,0.001902,0.00087,2.186,1.0,0.001902
Jackson,0.003296,0.003296,0.001437,2.2941,1.0,0.003296
Jefferson,0.001638,0.001638,0.000724,2.2631,1.0,0.001638
Kiowa,0.013053,0.013053,0.002845,2.2941,2.0,0.013053
Kit Carson,0.006465,0.006465,0.001409,2.2941,2.0,0.006465
Lake,0.001129,0.001129,0.000492,2.2941,1.0,0.001129
La Plata,0.001785,0.001785,0.000765,2.3333,1.0,0.001785
Larimer,0.003397,0.003397,0.001474,2.3047,1.0,0.003397
Las Animas,0.002695,0.002695,0.001103,2.4435,1.0,0.002695
Lincoln,0.000904,0.000904,0.000351,2.5757,1.0,0.000904
Logan,0.002905,0.002905,0.001249,2.325,1.0,0.002905
Mesa,0.003001,0.003001,0.001323,2.2682,1.0,0.003001
Mineral,0.005966,0.005966,0.002601,2.2941,1.0,0.005966
Moffat,0.002193,0.002193,0.000903,2.4278,1.0,0.002193
Montezuma,0.008284,0.008284,0.001986,2.4536,1.7,0.008284
Montrose,0.001348,0.001348,0.000585,2.3047,1.0,0.001348
Morgan,0.002769,0.002769,0.001238,2.2357,1.0,0.002769
Otero,0.001402,0.001402,0.000657,2.1349,1.0,0.001402
Ouray,0.003241,0.003241,0.00101,2.4071,1.3333,0.003241
Park,0.003307,0.003307,0.000849,2.3374,1.6667,0.003307
Phillips,0.002276,0.002276,0.000938,2.4267,1.0,0.002276
Pitkin,0.001971,0.001971,0.000788,2.3092,1.0833,0.001971
Prowers,0.003206,0.003206,0.001479,2.168,1.0,0.003206
Pueblo,0.004398,0.004398,0.001912,2.3002,1.0,0.004398
Rio Blanco,0.006067,0.006067,0.001423,2.1315,2.0,0.006067
Rio Grande,0.005234,0.005234,0.001154,2.2682,2.0,0.005234
Routt,0.000799,0.000799,0.000351,2.2749,1.0,0.000799
Saguache,0.006882,0.006882,0.001465,2.348,2.0,0.006882
San Juan,0.003151,0.003151,0.001374,2.2941,1.0,0.003151
San Miguel,0.002309,0.002309,0.000489,2.3608,2.0,0.002309
Sedgwick,0.003089,0.003089,0.001335,2.315,1.0,0.003089
Summit,0.002347,0.002347,0.001,2.348,1.0,0.002347
Teller,0.000977,0.000977,0.000433,2.2543,1.0,0.000977
Washington,0.002481,0.002481,0.001019,2.4352,1.0,0.002481
Weld,0.003315,0.003315,0.001439,2.3032,1.0,0.003315
Yuma,0.003273,0.003273,0.001497,2.186,1.0,0.003273
