Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002843,0.002843,0.001234,2.291,1.0058,0.002843
Adair,0.006433,0.006433,0.00151,2.4341,1.75,0.006433
Allen,0.004675,0.004675,0.001689,2.4516,1.129,0.004675
Anderson,0.002459,0.002459,0.001099,2.2376,1.0,0.002459
Ballard,0.00395,0.00395,0.000887,2.2258,2.0,0.00395
Barren,0.004826,0.004826,0.001944,2.1908,1.1333,0.004826
Bath,0.008519,0.008519,0.0032,2.3208,1.1471,0.008519
Bell,0.00309,0.00309,0.000922,2.3319,1.4375,0.00309
Boone,0.00298,0.00298,0.001273,2.3002,1.0181,0.00298
Bourbon,0.003951,0.003951,0.001617,2.2069,1.1071,0.003951
Boyd,0.002557,0.002557,0.001134,2.2543,1.0,0.002557
Boyle,0.002428,0.002428,0.001031,2.3545,1.0,0.002428
Bracken,0.006495,0.006495,0.001445,2.247,2.0,0.006495
Breathitt,0.002178,0.002178,0.00095,2.2926,1.0,0.002178
Breckinridge,0.002498,0.002498,0.001074,2.325,1.0,0.002498
Bullitt,0.002835,0.002835,0.001212,2.3387,1.0,0.002835
Butler,0.001641,0.001641,0.000699,2.348,1.0,0.001641
Caldwell,0.006119,0.006119,0.001255,2.4373,2.0,0.006119
Calloway,0.005987,0.005987,0.002077,2.3781,1.2121,0.005987
Campbell,0.004276,0.004276,0.001528,2.3454,1.1933,0.004276
Carlisle,0.004504,0.004504,0.001681,2.2972,1.1667,0.004504
Carroll,0.00148,0.00148,0.000658,2.247,1.0,0.00148
Carter,0.00262,0.00262,0.001157,2.2648,1.0,0.00262
Casey,0.001806,0.001806,0.000743,2.432,1.0,0.001806
Christian,0.002072,0.002072,0.00088,2.3545,1.0,0.002072
Clark,0.003837,0.003837,0.001213,2.2798,1.3871,0.003837
Clay,0.003025,0.003025,0.001105,2.2155,1.2353,0.003025
Clinton,0.00183,0.00183,0.000783,2.3374,1.0,0.00183
Crittenden,0.003739,0.003739,0.001249,2.3946,1.25,0.003739
Cumberland,0.003233,0.003233,0.00121,2.291,1.1667,0.003233
Daviess,0.002484,0.002484,0.001074,2.3136,1.0,0.002484
Edmonson,0.002512,0.002512,0.00107,2.348,1.0,0.002512
Elliott,0.002655,0.002655,0.001197,2.2176,1.0,0.002655
Estill,0.003246,0.003246,0.001418,2.2894,1.0,0.003246
Fayette,0.002252,0.002252,0.000987,2.2814,1.0,0.002252
Fleming,0.003691,0.003691,0.001166,2.3745,1.3333,0.003691
Floyd,0.002891,0.002891,0.001264,2.2863,1.0,0.002891
Franklin,0.004181,0.004181,0.001451,2.1707,1.3273,0.004181
Fulton,0.004573,0.004573,0.001005,2.2749,2.0,0.004573
Gallatin,0.0013,0.0013,0.000564,2.3062,1.0,0.0013
Garrard,0.00169,0.00169,0.000736,2.2972,1.0,0.00169
Grant,0.003927,0.003927,0.001715,2.2894,1.0,0.003927
Graves,0.003477,0.003477,0.001503,2.3136,1.0,0.003477
Grayson,0.00313,0.00313,0.001249,2.2716,1.1034,0.00313
Green,0.003795,0.003795,0.00128,2.2814,1.3,0.003795
Greenup,0.005875,0.005875,0.001909,2.3781,1.2941,0.005875
Hancock,0.001542,0.001542,0.000688,2.2414,1.0,0.001542
Hardin,0.004312,0.004312,0.001694,2.3136,1.1,0.004312
Harlan,0.002723,0.002723,0.00123,2.2134,1.0,0.002723
Harrison,0.002385,0.002385,0.001059,2.2525,1.0,0.002385
Hart,0.006956,0.006956,0.002206,2.4606,1.2812,0.006956
Henderson,0.001999,0.001999,0.000841,2.3781,1.0,0.001999
Henry,0.00434,0.00434,0.001922,2.2578,1.0,0.00434
Hickman,0.003023,0.003023,0.000913,2.2069,1.5,0.003023
Hopkins,0.003559,0.003559,0.001365,2.3899,1.0909,0.003559
Jackson,0.001394,0.001394,0.0006,2.3222,1.0,0.001394
Jefferson,0.003148,0.003148,0.001364,2.3077,1.0,0.003148
Jessamine,0.001531,0.001531,0.000665,2.3017,1.0,0.001531
Johnson,0.003616,0.003616,0.001577,2.2926,1.0,0.003616
Kenton,0.003151,0.003151,0.001156,2.2863,1.1925,0.003151
Knott,0.001896,0.001896,0.000878,2.1597,1.0,0.001896
Knox,0.003351,0.003351,0.001156,2.3193,1.25,0.003351
Larue,0.002462,0.002462,0.001111,2.2155,1.0,0.002462
Laurel,0.003464,0.003464,0.001496,2.186,1.0588,0.003464
Lawrence,0.004071,0.004071,0.000849,2.398,2.0,0.004071
Lee,0.001823,0.001823,0.00054,2.2488,1.5,0.001823
Leslie,0.007073,0.007073,0.002227,2.2682,1.4,0.007073
Letcher,0.002821,0.002821,0.001067,2.2831,1.1579,0.002821
Lewis,0.001627,0.001627,0.000753,2.1597,1.0,0.001627
Lincoln,0.003874,0.003874,0.001263,2.3519,1.3043,0.003874
Livingston,0.005615,0.005615,0.001196,2.3467,2.0,0.005615
Logan,0.003126,0.003126,0.000922,2.4003,1.4118,0.003126
Lyon,0.002272,0.002272,0.000974,2.3319,1.0,0.002272
McCracken,0.004105,0.004105,0.00136,2.3658,1.2754,0.004105
McCreary,0.002625,0.002625,0.001219,2.1539,1.0,0.002625
McLean,0.002415,0.002415,0.000978,2.4704,1.0,0.002415
Madison,0.001493,0.001493,0.000667,2.2395,1.0,0.001493
Magoffin,0.004664,0.004664,0.001727,2.2956,1.1765,0.004664
Marion,0.002173,0.002173,0.00083,2.2682,1.1538,0.002173
Marshall,0.004734,0.004734,0.001833,2.3062,1.12,0.004734
Martin,0.00384,0.00384,0.001161,2.2047,1.5,0.00384
Mason,0.003112,0.003112,0.000937,2.2134,1.5,0.003112
Meade,0.001776,0.001776,0.00077,2.3062,1.0,0.001776
Menifee,0.001724,0.001724,0.000771,2.2376,1.0,0.001724
Mercer,0.00255,0.00255,0.00114,2.2376,1.0,0.00255
Metcalfe,0.006185,0.006185,0.001986,2.4586,1.2667,0.006185
Monroe,0.006657,0.006657,0.001502,2.2155,2.0,0.006657
Montgomery,0.008096,0.008096,0.002344,2.2318,1.5476,0.008096
Morgan,0.002921,0.002921,0.001127,2.2217,1.1667,0.002921
Muhlenberg,0.001923,0.001923,0.000849,2.2648,1.0,0.001923
Nelson,0.003575,0.003575,0.001536,2.3278,1.0,0.003575
Nicholas,0.006342,0.006342,0.002064,2.4148,1.2727,0.006342
Ohio,0.001659,0.001659,0.000709,2.3414,1.0,0.001659
Oldham,0.001791,0.001791,0.000793,2.2578,1.0,0.001791
Owen,0.002161,0.002161,0.000917,2.3558,1.0,0.002161
Owsley,0.004098,0.004098,0.000906,2.2613,2.0,0.004098
Pendleton,0.00376,0.00376,0.001576,2.3852,1.0,0.00376
Perry,0.00376,0.00376,0.001514,2.2217,1.1176,0.00376
Pike,0.003503,0.003503,0.001503,2.3305,1.0,0.003503
Powell,0.011166,0.011166,0.002508,2.2258,2.0,0.011166
Pulaski,0.001094,0.001094,0.000508,2.1539,1.0,0.001094
Robertson,0.011088,0.011088,0.002372,2.3374,2.0,0.011088
Rockcastle,0.004117,0.004117,0.000958,2.291,1.875,0.004117
Rowan,0.007002,0.007002,0.001922,2.2972,1.5862,0.007002
Russell,0.002973,0.002973,0.001283,2.2112,1.0476,0.002973
Scott,0.00348,0.00348,0.001246,2.2749,1.2281,0.00348
Shelby,0.002275,0.002275,0.001,2.2766,1.0,0.002275
Simpson,0.005161,0.005161,0.001938,2.5103,1.0606,0.005161
Spencer,0.003789,0.003789,0.001654,2.291,1.0,0.003789
Taylor,0.004401,0.004401,0.001397,2.34,1.3462,0.004401
Todd,0.00055,0.00055,0.000244,2.2543,1.0,0.00055
