Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.00346,0.00346,0.00143,2.3236,1.041,0.00346
Adams,0.002256,0.002256,0.001011,2.2318,1.0,0.002256
Allen,0.005381,0.005381,0.002081,2.5859,1.0,0.005381
Ashland,0.002638,0.002638,0.001178,2.2395,1.0,0.002638
Ashtabula,0.003155,0.003155,0.001224,2.3596,1.0926,0.003155
Athens,0.004584,0.004584,0.001301,2.2648,1.5556,0.004584
Auglaize,0.004775,0.004775,0.002015,2.3696,1.0,0.004775
Belmont,0.00312,0.00312,0.001239,2.4884,1.0123,0.00312
Brown,0.003613,0.003613,0.001566,2.3077,1.0,0.003613
Butler,0.003169,0.003169,0.001352,2.344,1.0,0.003169
Carroll,0.00224,0.00224,0.000929,2.4115,1.0,0.00224
Champaign,0.002741,0.002741,0.001157,2.3683,1.0,0.002741
Clark,0.003336,0.003336,0.001439,2.3179,1.0,0.003336
Clermont,0.003263,0.003263,0.001385,2.3305,1.0106,0.003263
Clinton,0.005189,0.005189,0.002002,2.3427,1.1067,0.005189
Columbiana,0.002842,0.002842,0.001148,2.2613,1.0943,0.002842
Coshocton,0.002105,0.002105,0.000929,2.2665,1.0,0.002105
Crawford,0.006099,0.006099,0.002,2.3427,1.3016,0.006099
Cuyahoga,0.004234,0.004234,0.001623,2.336,1.1164,0.004234
Darke,0.003979,0.003979,0.001467,2.3454,1.1562,0.003979
Defiance,0.0061,0.0061,0.001838,2.357,1.4082,0.0061
Delaware,0.002905,0.002905,0.001214,2.3923,1.0,0.002905
Erie,0.014549,0.014549,0.00307,2.3696,2.0,0.014549
Fairfield,0.003152,0.003152,0.001345,2.3427,1.0,0.003152
Fayette,0.002887,0.002887,0.001227,2.3532,1.0,0.002887
Franklin,0.003149,0.003149,0.001305,2.3683,1.019,0.003149
Fulton,0.003866,0.003866,0.001424,2.3002,1.18,0.003866
Gallia,0.002015,0.002015,0.000903,2.2318,1.0,0.002015
Geauga,0.003404,0.003404,0.001303,2.3757,1.1,0.003404
Greene,0.005931,0.005931,0.001746,2.3683,1.4341,0.005931
Guernsey,0.002347,0.002347,0.001029,2.2814,1.0,0.002347
Hamilton,0.003616,0.003616,0.001418,2.3236,1.0976,0.003616
Hancock,0.004801,0.004801,0.002019,2.3781,1.0,0.004801
Hardin,0.00376,0.00376,0.001562,2.4071,1.0,0.00376
Harrison,0.002489,0.002489,0.001064,2.34,1.0,0.002489
Henry,0.002555,0.002555,0.001111,2.3002,1.0,0.002555
Highland,0.004867,0.004867,0.001715,2.3333,1.2167,0.004867
Hocking,0.003705,0.003705,0.001203,2.3333,1.32,0.003705
Holmes,0.000602,0.000602,0.000273,2.2069,1.0,0.000602
Huron,0.002821,0.002821,0.001201,2.348,1.0,0.002821
Jackson,0.004266,0.004266,0.001357,2.3387,1.3438,0.004266
Jefferson,0.002527,0.002527,0.001087,2.325,1.0,0.002527
Knox,0.0027,0.0027,0.000979,2.2987,1.2,0.0027
Lake,0.003462,0.003462,0.001351,2.3305,1.0993,0.003462
Lawrence,0.006408,0.006408,0.00185,2.5741,1.3457,0.006408
Licking,0.003837,0.003837,0.001544,2.4856,1.0,0.003837
Logan,0.004974,0.004974,0.001467,2.3633,1.4348,0.004974
Lorain,0.00462,0.00462,0.001811,2.3193,1.1002,0.00462
Lucas,0.003204,0.003204,0.001352,2.3292,1.0176,0.003204
Madison,0.003807,0.003807,0.00123,2.3506,1.3171,0.003807
Mahoning,0.003237,0.003237,0.001351,2.2631,1.0584,0.003237
Marion,0.005809,0.005809,0.002289,2.3493,1.0803,0.005809
Medina,0.003561,0.003561,0.001524,2.336,1.0,0.003561
Meigs,0.003931,0.003931,0.001528,2.2699,1.1333,0.003931
Mercer,0.003404,0.003404,0.00136,2.3658,1.0577,0.003404
Miami,0.003729,0.003729,0.00157,2.3745,1.0,0.003729
Monroe,0.001684,0.001684,0.000732,2.2987,1.0,0.001684
Montgomery,0.00535,0.00535,0.001839,2.3519,1.2367,0.00535
Morgan,0.003724,0.003724,0.00131,2.3696,1.2,0.003724
Morrow,0.002862,0.002862,0.001161,2.4665,1.0,0.002862
Muskingum,0.003396,0.003396,0.001322,2.5685,1.0,0.003396
Noble,0.002337,0.002337,0.000693,2.247,1.5,0.002337
Ottawa,0.005688,0.005688,0.002295,2.344,1.0575,0.005688
Paulding,0.009074,0.009074,0.002517,2.5076,1.4375,0.009074
Perry,0.00399,0.00399,0.001494,2.67,1.0,0.00399
Pickaway,0.003188,0.003188,0.001369,2.3292,1.0,0.003188
Pike,0.007173,0.007173,0.002304,2.3222,1.3404,0.007173
Portage,0.003573,0.003573,0.001373,2.3454,1.11,0.003573
Preble,0.003051,0.003051,0.001321,2.2665,1.0192,0.003051
Putnam,0.002534,0.002534,0.001034,2.4516,1.0,0.002534
Richland,0.003698,0.003698,0.001585,2.3333,1.0,0.003698
Ross,0.005857,0.005857,0.001983,2.3671,1.2479,0.005857
Sandusky,0.00429,0.00429,0.001863,2.3032,1.0,0.00429
Scioto,0.005597,0.005597,0.001939,2.2699,1.2719,0.005597
Seneca,0.004661,0.004661,0.001794,2.3062,1.1264,0.004661
Shelby,0.001851,0.001851,0.000803,2.3062,1.0,0.001851
Stark,0.00195,0.00195,0.000847,2.3017,1.0,0.00195
Summit,0.002961,0.002961,0.001244,2.3696,1.0045,0.002961
Trumbull,0.002589,0.002589,0.001126,2.2987,1.0,0.002589
Tuscarawas,0.002635,0.002635,0.001131,2.3305,1.0,0.002635
Union,0.004506,0.004506,0.001678,2.4383,1.1011,0.004506
Van Wert,0.005013,0.005013,0.002016,2.4865,1.0,0.005013
Vinton,0.002523,0.002523,0.000917,2.2506,1.2222,0.002523
Warren,0.003914,0.003914,0.001449,2.3583,1.1453,0.003914
Washington,0.00178,0.00178,0.000701,2.2298,1.1389,0.00178
Wayne,0.002533,0.002533,0.001106,2.2894,1.0,0.002533
Williams,0.005888,0.005888,0.002071,2.3121,1.2295,0.005888
Wood,0.002668,0.002668,0.001139,2.3427,1.0,0.002668
Wyandot,0.004199,0.004199,0.001562,2.4445,1.1,0.004199
