Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003427,0.003427,0.001445,2.372,1.0,0.003427
Adams,0.003022,0.003022,0.001258,2.4026,1.0,0.003022
Allen,0.004143,0.004143,0.001653,2.4299,1.0313,0.004143
Bartholomew,0.003893,0.003893,0.001659,2.3467,1.0,0.003893
Benton,0.005485,0.005485,0.002172,2.5252,1.0,0.005485
Blackford,0.003808,0.003808,0.001531,2.4875,1.0,0.003808
Boone,0.001253,0.001253,0.000501,2.4995,1.0,0.001253
Brown,0.004181,0.004181,0.000861,2.4267,2.0,0.004181
Carroll,0.001271,0.001271,0.000543,2.3414,1.0,0.001271
Cass,0.006497,0.006497,0.0026,2.4986,1.0,0.006497
Clark,0.006454,0.006454,0.002646,2.4393,1.0,0.006454
Clay,0.004152,0.004152,0.001754,2.3671,1.0,0.004152
Clinton,0.001822,0.001822,0.000772,2.3608,1.0,0.001822
Crawford,0.00213,0.00213,0.000945,2.2525,1.0,0.00213
Daviess,0.002643,0.002643,0.001139,2.3193,1.0,0.002643
Dearborn,0.004378,0.004378,0.00184,2.3793,1.0,0.004378
Decatur,0.003019,0.003019,0.001167,2.2414,1.1538,0.003019
DeKalb,0.003823,0.003823,0.001541,2.4809,1.0,0.003823
Delaware,0.002903,0.002903,0.001244,2.3333,1.0,0.002903
Dubois,0.004424,0.004424,0.001849,2.3934,1.0,0.004424
Elkhart,0.003615,0.003615,0.001221,2.3583,1.255,0.003615
Fayette,0.00502,0.00502,0.001991,2.5209,1.0,0.00502
Floyd,0.00376,0.00376,0.001566,2.4003,1.0,0.00376
Fountain,0.005247,0.005247,0.002141,2.4506,1.0,0.005247
Franklin,0.002275,0.002275,0.000967,2.3532,1.0,0.002275
Fulton,0.004886,0.004886,0.002103,2.3236,1.0,0.004886
Gibson,0.004132,0.004132,0.001753,2.357,1.0,0.004132
Grant,0.00494,0.00494,0.002068,2.3888,1.0,0.00494
Greene,0.003689,0.003689,0.00166,2.2217,1.0,0.003689
Hamilton,0.002679,0.002679,0.001118,2.3957,1.0,0.002679
Hancock,0.003917,0.003917,0.001676,2.3193,1.0078,0.003917
Harrison,0.003281,0.003281,0.001407,2.3319,1.0,0.003281
Hendricks,0.002695,0.002695,0.001069,2.5218,1.0,0.002695
Henry,0.006322,0.006322,0.002627,2.4071,1.0,0.006322
Howard,0.003963,0.003963,0.00166,2.3876,1.0,0.003963
Huntington,0.007034,0.007034,0.002903,2.4235,1.0,0.007034
Jackson,0.003453,0.003453,0.001447,2.3864,1.0,0.003453
Jasper,0.004599,0.004599,0.001788,2.3545,1.0926,0.004599
Jay,0.00303,0.00303,0.001223,2.4771,1.0,0.00303
Jefferson,0.002209,0.002209,0.000929,2.3793,1.0,0.002209
Jennings,0.001579,0.001579,0.000685,2.3047,1.0,0.001579
Johnson,0.00385,0.00385,0.0016,2.4071,1.0,0.00385
Knox,0.005829,0.005829,0.002487,2.344,1.0,0.005829
Kosciusko,0.005926,0.005926,0.002001,2.3427,1.264,0.005926
LaGrange,0.000818,0.000818,0.000353,2.315,1.0,0.000818
Lake,0.003355,0.003355,0.001409,2.3817,1.0,0.003355
LaPorte,0.003058,0.003058,0.001338,2.2863,1.0,0.003058
Lawrence,0.002155,0.002155,0.000904,2.3852,1.0,0.002155
Madison,0.003993,0.003993,0.001713,2.3305,1.0,0.003993
Marion,0.002836,0.002836,0.001193,2.3769,1.0,0.002836
Marshall,0.004279,0.004279,0.001513,2.336,1.2105,0.004279
Martin,0.002462,0.002462,0.001073,2.2956,1.0,0.002462
Miami,0.003725,0.003725,0.001605,2.3208,1.0,0.003725
