Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003358,0.003358,0.001258,2.3493,1.1366,0.003358
Alamance,0.003657,0.003657,0.001463,2.348,1.0647,0.003657
Alexander,0.002133,0.002133,0.000933,2.2847,1.0,0.002133
Alleghany,0.002514,0.002514,0.001077,2.3333,1.0,0.002514
Anson,0.003525,0.003525,0.000982,2.3414,1.5333,0.003525
Ashe,0.005967,0.005967,0.001507,2.4742,1.6,0.005967
Avery,0.008423,0.008423,0.001766,2.3852,2.0,0.008423
Beaufort,0.003279,0.003279,0.000894,2.3264,1.5769,0.003279
Bertie,0.005995,0.005995,0.001372,2.4465,1.7857,0.005995
Bladen,0.005456,0.005456,0.001742,2.4048,1.3023,0.005456
Brunswick,0.002958,0.002958,0.001064,2.3745,1.1705,0.002958
Buncombe,0.003063,0.003063,0.001106,2.3454,1.1803,0.003063
Burke,0.003713,0.003713,0.001392,2.3467,1.1364,0.003713
Cabarrus,0.002928,0.002928,0.001229,2.3829,1.0,0.002928
Caldwell,0.005667,0.005667,0.001789,2.3002,1.3774,0.005667
Camden,0.001248,0.001248,0.000552,2.2596,1.0,0.001248
Carteret,0.002751,0.002751,0.000792,2.3165,1.5,0.002751
Caswell,0.003528,0.003528,0.001106,2.3923,1.3333,0.003528
Catawba,0.003123,0.003123,0.001297,2.3136,1.0404,0.003123
Chatham,0.003117,0.003117,0.001316,2.3683,1.0,0.003117
Cherokee,0.002003,0.002003,0.000874,2.2926,1.0,0.002003
Chowan,0.00198,0.00198,0.000861,2.3002,1.0,0.00198
Clay,0.001862,0.001862,0.000801,2.3236,1.0,0.001862
Cleveland,0.003449,0.003449,0.001389,2.3002,1.08,0.003449
Columbus,0.001616,0.001616,0.000685,2.3608,1.0,0.001616
Craven,0.001906,0.001906,0.000822,2.3179,1.0,0.001906
Cumberland,0.003322,0.003322,0.001314,2.4299,1.0402,0.003322
Currituck,0.001112,0.001112,0.000468,2.3745,1.0,0.001112
Dare,0.001175,0.001175,0.000513,2.2878,1.0,0.001175
Davidson,0.003367,0.003367,0.001271,2.3621,1.1217,0.003367
Davie,0.003335,0.003335,0.001424,2.3427,1.0,0.003335
Duplin,0.002889,0.002889,0.000868,2.3292,1.4286,0.002889
Durham,0.003213,0.003213,0.001226,2.3017,1.1391,0.003213
Edgecombe,0.002571,0.002571,0.000933,2.3467,1.175,0.002571
Forsyth,0.004365,0.004365,0.001454,2.336,1.2847,0.004365
Franklin,0.002285,0.002285,0.000976,2.3414,1.0,0.002285
Gaston,0.006505,0.006505,0.001746,2.4393,1.5273,0.006505
Gates,0.000951,0.000951,0.000432,2.2002,1.0,0.000951
Graham,0.00155,0.00155,0.000711,2.181,1.0,0.00155
Granville,0.002644,0.002644,0.001142,2.3165,1.0,0.002644
Greene,0.005041,0.005041,0.001044,2.4137,2.0,0.005041
Guilford,0.003587,0.003587,0.001407,2.3193,1.099,0.003587
