Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003532,0.003532,0.001489,2.3032,1.0296,0.003532
Adams,0.003008,0.003008,0.001335,2.2525,1.0,0.003008
Ashland,0.001415,0.001415,0.000643,2.2024,1.0,0.001415
Barron,0.003863,0.003863,0.001304,2.3493,1.2609,0.003863
Bayfield,0.001436,0.001436,0.000665,2.1597,1.0,0.001436
Brown,0.003388,0.003388,0.001474,2.2926,1.0026,0.003388
Buffalo,0.005586,0.005586,0.001535,2.2987,1.5833,0.005586
Burnett,0.003342,0.003342,0.001492,2.2395,1.0,0.003342
Calumet,0.004327,0.004327,0.001238,2.4071,1.4524,0.004327
Chippewa,0.002306,0.002306,0.001036,2.2258,1.0,0.002306
Clark,0.002311,0.002311,0.000891,2.247,1.1538,0.002311
Columbia,0.002809,0.002809,0.001199,2.2732,1.0303,0.002809
Crawford,0.003577,0.003577,0.001178,2.1932,1.3846,0.003577
Dane,0.003632,0.003632,0.001593,2.2798,1.0,0.003632
Dodge,0.010782,0.010782,0.002368,2.2766,2.0,0.010782
Door,0.005071,0.005071,0.001554,2.3305,1.4,0.005071
Douglas,0.004046,0.004046,0.001761,2.2972,1.0,0.004046
Dunn,0.004248,0.004248,0.001256,2.2941,1.4737,0.004248
Eau Claire,0.002435,0.002435,0.000984,2.2798,1.0851,0.002435
Florence,0.002648,0.002648,0.001164,2.2749,1.0,0.002648
Fond du Lac,0.007655,0.007655,0.002186,2.3193,1.5101,0.007655
Forest,0.004238,0.004238,0.001777,2.2258,1.0714,0.004238
Grant,0.001838,0.001838,0.000817,2.2506,1.0,0.001838
Green,0.003617,0.003617,0.001542,2.3454,1.0,0.003617
Green Lake,0.008309,0.008309,0.002538,2.2987,1.4242,0.008309
Iowa,0.003506,0.003506,0.00152,2.3062,1.0,0.003506
Iron,0.009316,0.009316,0.003868,2.4082,1.0,0.009316
Jackson,0.002325,0.002325,0.000872,2.3532,1.1333,0.002325
Jefferson,0.003309,0.003309,0.001427,2.3179,1.0,0.003309
Juneau,0.002633,0.002633,0.001199,2.1956,1.0,0.002633
Kenosha,0.004857,0.004857,0.00194,2.3506,1.0649,0.004857
Kewaunee,0.002681,0.002681,0.001175,2.2831,1.0,0.002681
La Crosse,0.001819,0.001819,0.000805,2.2596,1.0,0.001819
Lafayette,0.005274,0.005274,0.00168,2.325,1.35,0.005274
Langlade,0.004332,0.004332,0.001876,2.3092,1.0,0.004332
Lincoln,0.003355,0.003355,0.001486,2.2578,1.0,0.003355
Manitowoc,0.007269,0.007269,0.002038,2.2956,1.5534,0.007269
Marathon,0.003379,0.003379,0.001474,2.2926,1.0,0.003379
Marinette,0.003722,0.003722,0.001586,2.3467,1.0,0.003722
Marquette,0.002487,0.002487,0.001092,2.2782,1.0,0.002487
Menominee,0.004026,0.004026,0.001536,2.1835,1.2,0.004026
Milwaukee,0.003909,0.003909,0.001689,2.3136,1.0006,0.003909
Monroe,0.003052,0.003052,0.000843,2.1908,1.6522,0.003052
Oconto,0.00274,0.00274,0.001081,2.2814,1.1111,0.00274
Oneida,0.002797,0.002797,0.001236,2.2631,1.0,0.002797
Outagamie,0.002593,0.002593,0.001102,2.3532,1.0,0.002593
Ozaukee,0.004156,0.004156,0.001412,2.3305,1.2626,0.004156
Pepin,0.005726,0.005726,0.001235,2.3179,2.0,0.005726
Pierce,0.001781,0.001781,0.000772,2.3077,1.0,0.001781
Polk,0.002819,0.002819,0.001211,2.3292,1.0,0.002819
Portage,0.004106,0.004106,0.001455,2.2956,1.2289,0.004106
Price,0.002034,0.002034,0.000899,2.2631,1.0,0.002034
Racine,0.005965,0.005965,0.00217,2.3092,1.1905,0.005965
Richland,0.007472,0.007472,0.001855,2.2091,1.8235,0.007472
Rock,0.004859,0.004859,0.001885,2.2831,1.1287,0.004859
Rusk,0.001906,0.001906,0.000846,2.2525,1.0,0.001906
St. Croix,0.002664,0.002664,0.001136,2.3454,1.0,0.002664
Sauk,0.003197,0.003197,0.001397,2.2894,1.0,0.003197
Sawyer,0.004994,0.004994,0.002053,2.3583,1.0312,0.004994
Shawano,0.002218,0.002218,0.000978,2.2682,1.0,0.002218
Sheboygan,0.00292,0.00292,0.001274,2.291,1.0,0.00292
Taylor,0.001842,0.001842,0.000836,2.2047,1.0,0.001842
Trempealeau,0.001659,0.001659,0.000708,2.3427,1.0,0.001659
Vernon,0.002062,0.002062,0.000844,2.2488,1.087,0.002062
Vilas,0.003277,0.003277,0.001442,2.2732,1.0,0.003277
Walworth,0.00411,0.00411,0.001781,2.3077,1.0,0.00411
Washburn,0.004954,0.004954,0.001654,2.2766,1.3158,0.004954
Washington,0.003203,0.003203,0.00136,2.3427,1.0055,0.003203
Waukesha,0.003503,0.003503,0.00143,2.3519,1.0415,0.003503
Waupaca,0.00225,0.00225,0.000961,2.2926,1.0213,0.00225
Waushara,0.003106,0.003106,0.000941,2.2506,1.4667,0.003106
Winnebago,0.004194,0.004194,0.001635,2.3002,1.1155,0.004194
Wood,0.003201,0.003201,0.001301,2.2506,1.093,0.003201
