Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.007682,0.007682,0.003141,2.4455,1.0,0.007682
Adjuntas,0.013251,0.013251,0.005126,2.5851,1.0,0.013251
Aguada,0.005691,0.005691,0.002316,2.4566,1.0,0.005691
Aguadilla,0.00662,0.00662,0.002726,2.4289,1.0,0.00662
Aguas Buenas,0.00776,0.00776,0.003224,2.4071,1.0,0.00776
Aibonito,0.009726,0.009726,0.003754,2.5905,1.0,0.009726
Anasco,0.008761,0.008761,0.003211,2.4655,1.1067,0.008761
Arecibo,Unknown,Unknown,0.002708,2.3817,1.0,0.006451
Arroyo,0.005873,0.005873,0.002436,2.4104,1.0,0.005873
Barceloneta,0.007384,0.007384,0.002992,2.4675,1.0,0.007384
Barranquitas,0.00844,0.00844,0.00339,2.4893,1.0,0.00844
Bayamon,0.01045,0.01045,0.004242,2.4635,1.0,0.01045
Cabo Rojo,0.01733,0.01733,0.004146,2.5165,1.661,0.01733
Caguas,0.008852,0.008852,0.003515,2.5183,1.0,0.008852
Camuy,0.007364,0.007364,0.003147,2.34,1.0,0.007364
Canovanas,0.006771,0.006771,0.002843,2.3817,1.0,0.006771
Carolina,0.007326,0.007326,0.00298,2.4586,1.0,0.007326
Catano,0.00581,0.00581,0.002379,2.4424,1.0,0.00581
Cayey,0.007759,0.007759,0.003183,2.4373,1.0,0.007759
Ceiba,0.013264,0.013264,0.004035,2.5226,1.303,0.013264
Ciales,0.006897,0.006897,0.003036,2.2716,1.0,0.006897
Cidra,0.008719,0.008719,0.003472,2.5112,1.0,0.008719
Coamo,0.007018,0.007018,0.002817,2.4912,1.0,0.007018
Comerio,0.008164,0.008164,0.003164,2.5804,1.0,0.008164
Corozal,0.006538,0.006538,0.002694,2.4267,1.0,0.006538
Culebra,Unknown,Unknown,0.005834,2.4455,2.0,0.028536
Dorado,0.00771,0.00771,0.003237,2.3817,1.0,0.00771
Fajardo,0.006727,0.006727,0.002614,2.5733,1.0,0.006727
Florida,0.010383,0.010383,0.004065,2.3841,1.0714,0.010383
Guanica,0.005957,0.005957,0.0026,2.291,1.0,0.005957
Guayama,0.005524,0.005524,0.002306,2.3957,1.0,0.005524
Guayanilla,0.007479,0.007479,0.002894,2.5843,1.0,0.007479
Guaynabo,0.008175,0.008175,0.003249,2.5165,1.0,0.008175
Gurabo,0.006756,0.006756,0.002739,2.4665,1.0,0.006756
Hatillo,0.006591,0.006591,0.002754,2.3934,1.0,0.006591
Hormigueros,0.008154,0.008154,0.003609,2.2596,1.0,0.008154
Humacao,0.007634,0.007634,0.003139,2.432,1.0,0.007634
Isabela,0.0071,0.0071,0.00287,2.4742,1.0,0.0071
Jayuya,0.005282,0.005282,0.00216,2.4455,1.0,0.005282
Juana Diaz,0.007217,0.007217,0.002775,2.6005,1.0,0.007217
Juncos,0.007066,0.007066,0.002909,2.4289,1.0,0.007066
Lajas,0.008913,0.008913,0.003726,2.3923,1.0,0.008913
Lares,0.017586,0.017586,0.006797,2.5874,1.0,0.017586
Las Marias,0.005148,0.005148,0.002397,2.1478,1.0,0.005148
Las Piedras,0.011046,0.011046,0.004296,2.4082,1.0676,0.011046
Loiza,0.003844,0.003844,0.001466,2.3969,1.0938,0.003844
Luquillo,0.00585,0.00585,0.002378,2.4606,1.0,0.00585
Manati,0.011654,0.011654,0.004398,2.3732,1.1164,0.011654
Maricao,0.010451,0.010451,0.004236,2.4675,1.0,0.010451
Maunabo,0.010707,0.010707,0.004166,2.4476,1.05,0.010707
Mayaguez,0.009891,0.009891,0.003775,2.4257,1.0803,0.009891
Moca,0.006354,0.006354,0.002608,2.4362,1.0,0.006354
Morovis,0.010657,0.010657,0.003231,2.3805,1.3857,0.010657
Naguabo,0.004589,0.004589,0.001941,2.3646,1.0,0.004589
Naranjito,0.008857,0.008857,0.00351,2.417,1.044,0.008857
Orocovis,0.013238,0.013238,0.004055,2.4986,1.3065,0.013238
Patillas,0.010178,0.010178,0.004133,2.4626,1.0,0.010178
Penuelas,0.008378,0.008378,0.003273,2.4771,1.0333,0.008378
Ponce,0.006372,0.006372,0.00257,2.479,1.0,0.006372
Quebradillas,0.007341,0.007341,0.002967,2.4742,1.0,0.007341
Rincon,0.007741,0.007741,0.002709,2.6191,1.0909,0.007741
Rio Grande,0.00668,0.00668,0.002582,2.3769,1.0885,0.00668
Sabana Grande,0.008443,0.008443,0.003408,2.4771,1.0,0.008443
Salinas,0.006091,0.006091,0.002507,2.4299,1.0,0.006091
San German,0.011165,0.011165,0.003672,2.2665,1.3415,0.011165
San Juan,0.005498,0.005498,0.00228,2.4115,1.0,0.005498
San Lorenzo,0.00624,0.00624,0.002584,2.4148,1.0,0.00624
San Sebastian,0.011163,0.011163,0.003997,2.5355,1.1016,0.011163
Santa Isabel,0.004982,0.004982,0.002122,2.348,1.0,0.004982
Toa Alta,0.006931,0.006931,0.002791,2.4837,1.0,0.006931
Toa Baja,0.009245,0.009245,0.003703,2.4967,1.0,0.009245
Trujillo Alto,0.005565,0.005565,0.002309,2.4104,1.0,0.005565
Utuado,0.007167,0.007167,0.003066,2.3374,1.0,0.007167
Vega Alta,0.006997,0.006997,0.002856,2.4496,1.0,0.006997
Vega Baja,0.007991,0.007991,0.003358,2.3793,1.0,0.007991
Vieques,0.004374,0.004374,0.001789,2.4455,1.0,0.004374
Villalba,0.00596,0.00596,0.002433,2.4496,1.0,0.00596
Yabucoa,0.00661,0.00661,0.002695,2.4526,1.0,0.00661
Yauco,0.007995,0.007995,0.003217,2.4856,1.0,0.007995
