Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003698,0.003698,0.001174,2.9542,1.0666,0.003698
Adair,0.009087,0.009087,0.001538,2.9542,2.0,0.009087
Adams,0.005468,0.005468,0.001388,2.9542,1.3333,0.005468
Allamakee,0.002158,0.002158,0.000731,2.9542,1.0,0.002158
Appanoose,0.007132,0.007132,0.002012,2.9542,1.2,0.007132
Audubon,0.00602,0.00602,0.001456,2.9542,1.4,0.00602
Benton,0.004262,0.004262,0.001443,2.9542,1.0,0.004262
Black Hawk,0.005993,0.005993,0.001516,2.9542,1.3378,0.005993
Boone,0.007432,0.007432,0.001258,2.9542,2.0,0.007432
Bremer,0.00416,0.00416,0.000998,2.9542,1.4118,0.00416
Buchanan,0.004925,0.004925,0.00137,2.9542,1.2174,0.004925
Buena Vista,0.001656,0.001656,0.000561,2.9542,1.0,0.001656
Butler,0.004726,0.004726,0.001524,2.9542,1.05,0.004726
Calhoun,0.003361,0.003361,0.001138,2.9542,1.0,0.003361
Carroll,0.003981,0.003981,0.001091,2.9542,1.2353,0.003981
Cass,0.007156,0.007156,0.00148,2.9542,1.6364,0.007156
Cedar,0.004295,0.004295,0.001396,2.9542,1.0417,0.004295
Cerro Gordo,0.003866,0.003866,0.000989,2.9542,1.3226,0.003866
Cherokee,0.003418,0.003418,0.001157,2.9542,1.0,0.003418
Chickasaw,0.001981,0.001981,0.00067,2.9542,1.0,0.001981
Clarke,0.00545,0.00545,0.001384,2.9542,1.3333,0.00545
Clay,0.00332,0.00332,0.001124,2.9542,1.0,0.00332
Clayton,0.001515,0.001515,0.000513,2.9542,1.0,0.001515
Clinton,0.010435,0.010435,0.001766,2.9542,2.0,0.010435
Crawford,0.002108,0.002108,0.000713,2.9542,1.0,0.002108
Dallas,0.00275,0.00275,0.000931,2.9542,1.0,0.00275
Davis,0.010504,0.010504,0.001778,2.9542,2.0,0.010504
Decatur,0.003941,0.003941,0.000889,2.9542,1.5,0.003941
Delaware,0.004689,0.004689,0.001587,2.9542,1.0,0.004689
Des Moines,0.005765,0.005765,0.001514,2.9542,1.2889,0.005765
Dickinson,0.001712,0.001712,0.000579,2.9542,1.0,0.001712
Dubuque,0.005103,0.005103,0.001593,2.9542,1.0845,0.005103
Emmet,0.006256,0.006256,0.001412,2.9542,1.5,0.006256
Fayette,0.003146,0.003146,0.000865,2.9542,1.2308,0.003146
Floyd,0.005521,0.005521,0.001279,2.9542,1.4615,0.005521
