Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003999,0.003999,0.001715,2.3319,1.0,0.003999
Alameda,0.003901,0.003901,0.001686,2.3136,1.0,0.003901
Alpine,0.001771,0.001771,0.000886,2.0,1.0,0.001771
Amador,0.002302,0.002302,0.001031,2.2318,1.0,0.002302
Butte,0.00216,0.00216,0.000935,2.3092,1.0,0.00216
Calaveras,0.001602,0.001602,0.000697,2.2987,1.0,0.001602
Colusa,0.001978,0.001978,0.000882,2.2433,1.0,0.001978
Contra Costa,0.003704,0.003704,0.001602,2.3121,1.0,0.003704
Del Norte,0.001926,0.001926,0.000863,2.2318,1.0,0.001926
El Dorado,0.001838,0.001838,0.000788,2.3319,1.0,0.001838
Fresno,0.003462,0.003462,0.00148,2.3387,1.0,0.003462
Glenn,0.002057,0.002057,0.000845,2.3278,1.0455,0.002057
Humboldt,0.001991,0.001991,0.000848,2.3467,1.0,0.001991
Imperial,0.006149,0.006149,0.00256,2.4014,1.0,0.006149
Inyo,0.002927,0.002927,0.001275,2.2956,1.0,0.002927
Kern,0.003847,0.003847,0.001689,2.2782,1.0,0.003847
Kings,0.004392,0.004392,0.001896,2.3165,1.0,0.004392
Lake,0.002197,0.002197,0.000963,2.2814,1.0,0.002197
Lassen,0.001132,0.001132,0.000523,2.1625,1.0,0.001132
Los Angeles,0.00488,0.00488,0.002119,2.3032,1.0,0.00488
Madera,0.003443,0.003443,0.001475,2.3347,1.0,0.003443
Marin,0.003093,0.003093,0.001329,2.3136,1.0059,0.003093
Mariposa,0.005821,0.005821,0.0025,2.2732,1.0244,0.005821
Mendocino,0.001325,0.001325,0.000588,2.2543,1.0,0.001325
Merced,0.002555,0.002555,0.001113,2.2956,1.0,0.002555
Modoc,0.003174,0.003174,0.001244,2.5506,1.0,0.003174
Mono,0.004435,0.004435,0.000969,2.2878,2.0,0.004435
Monterey,0.001365,0.001365,0.000606,2.2525,1.0,0.001365
Napa,0.002787,0.002787,0.001234,2.2578,1.0,0.002787
Nevada,0.002298,0.002298,0.000992,2.315,1.0,0.002298
Orange,0.002685,0.002685,0.001144,2.3467,1.0,0.002685
Placer,0.002081,0.002081,0.000901,2.3092,1.0,0.002081
Plumas,0.000974,0.000974,0.000425,2.2894,1.0,0.000974
Riverside,0.003492,0.003492,0.001456,2.398,1.0,0.003492
Sacramento,0.002983,0.002983,0.001295,2.3032,1.0,0.002983
San Benito,0.007725,0.007725,0.003057,2.527,1.0,0.007725
San Bernardino,0.004062,0.004062,0.001705,2.3817,1.0,0.004062
San Diego,0.003961,0.003961,0.001713,2.3121,1.0,0.003961
San Francisco,0.003835,0.003835,0.00166,2.3107,1.0,0.003835
San Joaquin,0.004018,0.004018,0.001749,2.2972,1.0,0.004018
San Luis Obispo,0.001524,0.001524,0.000675,2.2596,1.0,0.001524
San Mateo,0.003545,0.003545,0.001531,2.315,1.0,0.003545
Santa Barbara,0.002511,0.002511,0.001091,2.3017,1.0,0.002511
Santa Clara,0.014931,0.014931,0.003875,2.3236,1.6582,0.014931
Santa Cruz,0.004111,0.004111,0.001837,2.2376,1.0,0.004111
Shasta,0.001684,0.001684,0.000733,2.2972,1.0,0.001684
Sierra,0.001615,0.001615,0.000666,2.4267,1.0,0.001615
Siskiyou,5.1e-05,5.1e-05,2.3e-05,2.2376,1.0,5.1e-05
Solano,0.003492,0.003492,0.001506,2.3193,1.0,0.003492
Sonoma,0.002541,0.002541,0.001098,2.3136,1.0,0.002541
Stanislaus,0.002877,0.002877,0.001242,2.3165,1.0,0.002877
Sutter,0.002941,0.002941,0.001186,2.3062,1.0755,0.002941
Tehama,0.003586,0.003586,0.001552,2.3107,1.0,0.003586
Trinity,0.000732,0.000732,0.000326,2.247,1.0,0.000732
Tulare,0.002303,0.002303,0.001006,2.2894,1.0,0.002303
Tuolumne,0.004636,0.004636,0.001982,2.3387,1.0,0.004636
Ventura,0.002578,0.002578,0.001117,2.3077,1.0,0.002578
Yolo,0.002367,0.002367,0.001011,2.3092,1.0137,0.002367
Yuba,0.002455,0.002455,0.001068,2.2987,1.0,0.002455
