Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3e-06,3e-06,1e-06,2.3236,1.0,3e-06
Adams,0.001049,0.001049,0.000451,2.3236,1.0,0.001049
Barnes,0.000216,0.000216,9.6e-05,2.2525,1.0,0.000216
Benson,0.000346,0.000346,0.000146,2.3671,1.0,0.000346
Billings,0.002504,0.002504,0.001078,2.3236,1.0,0.002504
Bottineau,0.00037,0.00037,0.000159,2.3236,1.0,0.00037
Bowman,0.000768,0.000768,0.000331,2.3236,1.0,0.000768
Burke,0.001099,0.001099,0.000473,2.3236,1.0,0.001099
Burleigh,2.5e-05,2.5e-05,1e-05,2.4137,1.0,2.5e-05
Cass,1.3e-05,1.3e-05,5e-06,2.3002,1.0,1.3e-05
Cavalier,0.000605,0.000605,0.000266,2.2749,1.0,0.000605
Dickey,0.000456,0.000456,0.000205,2.2197,1.0,0.000456
Divide,0.001026,0.001026,0.000442,2.3236,1.0,0.001026
Dunn,0.000506,0.000506,0.000226,2.2376,1.0,0.000506
Eddy,0.001083,0.001083,0.000437,2.4771,1.0,0.001083
Emmons,0.000717,0.000717,0.000309,2.3236,1.0,0.000717
Foster,0.000726,0.000726,0.000312,2.3305,1.0,0.000726
Golden Valley,0.001319,0.001319,0.000568,2.3236,1.0,0.001319
Grand Forks,3.4e-05,3.4e-05,1.4e-05,2.3347,1.0,3.4e-05
Grant,0.001022,0.001022,0.00044,2.3236,1.0,0.001022
Griggs,0.001048,0.001048,0.000448,2.3374,1.0,0.001048
Hettinger,0.00093,0.00093,0.0004,2.3236,1.0,0.00093
Kidder,0.000937,0.000937,0.000403,2.3236,1.0,0.000937
LaMoure,0.000574,0.000574,0.000247,2.3236,1.0,0.000574
Logan,0.001256,0.001256,0.000541,2.3236,1.0,0.001256
McHenry,0.000404,0.000404,0.000174,2.3236,1.0,0.000404
McIntosh,0.000931,0.000931,0.0004,2.3236,1.0,0.000931
McKenzie,0.000149,0.000149,6.7e-05,2.2414,1.0,0.000149
McLean,0.000246,0.000246,0.000106,2.3236,1.0,0.000246
Mercer,0.000286,0.000286,0.000122,2.3414,1.0,0.000286
Morton,7.6e-05,7.6e-05,3.2e-05,2.3946,1.0,7.6e-05
Mountrail,0.00022,0.00022,9.5e-05,2.3236,1.0,0.00022
Nelson,0.000801,0.000801,0.000347,2.3062,1.0,0.000801
Oliver,0.001186,0.001186,0.00051,2.3236,1.0,0.001186
Pembina,0.000341,0.000341,0.000147,2.3179,1.0,0.000341
Pierce,0.000594,0.000594,0.000252,2.3608,1.0,0.000594
Ramsey,0.000199,0.000199,8.7e-05,2.2941,1.0,0.000199
Ransom,0.000446,0.000446,0.000192,2.3278,1.0,0.000446
Renville,0.000999,0.000999,0.00043,2.3236,1.0,0.000999
Richland,0.000145,0.000145,6.2e-05,2.3506,1.0,0.000145
Rolette,0.000162,0.000162,7.1e-05,2.3017,1.0,0.000162
Sargent,0.000595,0.000595,0.000257,2.3179,1.0,0.000595
Sheridan,0.001767,0.001767,0.00076,2.3236,1.0,0.001767
Sioux,0.00056,0.00056,0.000236,2.3671,1.0,0.00056
Slope,0.003098,0.003098,0.001333,2.3236,1.0,0.003098
Stark,7.5e-05,7.5e-05,3.2e-05,2.3708,1.0,7.5e-05
Steele,0.001229,0.001229,0.000529,2.3236,1.0,0.001229
Stutsman,0.000117,0.000117,4.8e-05,2.4224,1.0,0.000117
Towner,0.00103,0.00103,0.000457,2.2543,1.0,0.00103
Traill,0.000306,0.000306,0.000124,2.4626,1.0,0.000306
Walsh,0.000213,0.000213,9.4e-05,2.2699,1.0,0.000213
Ward,3.4e-05,3.4e-05,1.5e-05,2.3179,1.0,3.4e-05
Wells,0.000606,0.000606,0.000261,2.3236,1.0,0.000606
Williams,6.1e-05,6.1e-05,2.7e-05,2.3032,1.0,6.1e-05
