Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002309,0.002309,0.000916,2.3583,1.0694,0.002309
Alachua,9e-06,9e-06,4e-06,2.3047,1.0,9e-06
Baker,7.9e-05,7.9e-05,3.4e-05,2.3062,1.0,7.9e-05
Bay,1.2e-05,1.2e-05,6e-06,2.168,1.0,1.2e-05
Bradford,7.8e-05,7.8e-05,3.5e-05,2.2002,1.0,7.8e-05
Brevard,4e-06,4e-06,2e-06,2.2956,1.0,4e-06
Broward,1e-06,1e-06,1e-06,2.4104,1.0,1e-06
Calhoun,0.000167,0.000167,7.1e-05,2.3545,1.0,0.000167
Charlotte,1.2e-05,1.2e-05,5e-06,2.325,1.0,1.2e-05
Citrus,1.5e-05,1.5e-05,7e-06,2.3092,1.0,1.5e-05
Clay,1.1e-05,1.1e-05,5e-06,2.3208,1.0,1.1e-05
Collier,6e-06,6e-06,3e-06,2.3658,1.0,6e-06
Columbia,3.2e-05,3.2e-05,1.4e-05,2.2665,1.0,3.2e-05
DeSoto,6.1e-05,6.1e-05,2.6e-05,2.3002,1.0,6.1e-05
Dixie,0.000134,0.000134,5.9e-05,2.256,1.0,0.000134
Duval,2e-06,2e-06,1e-06,2.3179,1.0,2e-06
Escambia,7e-06,7e-06,3e-06,2.2506,1.0,7e-06
Flagler,2e-05,2e-05,9e-06,2.3047,1.0,2e-05
Franklin,0.00019,0.00019,8.2e-05,2.3062,1.0,0.00019
Gadsden,5.1e-05,5.1e-05,2.2e-05,2.3121,1.0,5.1e-05
Gilchrist,0.000121,0.000121,5.4e-05,2.247,1.0,0.000121
Glades,0.000179,0.000179,7.2e-05,2.4771,1.0,0.000179
Gulf,0.000156,0.000156,7.3e-05,2.1244,1.0,0.000156
Hamilton,0.000159,0.000159,6.9e-05,2.2926,1.0,0.000159
Hardee,8.5e-05,8.5e-05,3.7e-05,2.3017,1.0,8.5e-05
Hendry,5.3e-05,5.3e-05,2.4e-05,2.2376,1.0,5.3e-05
Hernando,1.2e-05,1.2e-05,5e-06,2.3136,1.0,1.2e-05
Highlands,2.3e-05,2.3e-05,9e-06,2.4071,1.0,2.3e-05
Hillsborough,2e-06,2e-06,1e-06,2.3179,1.0,2e-06
Holmes,0.000115,0.000115,5.1e-05,2.2648,1.0,0.000115
Indian River,1.5e-05,1.5e-05,6e-06,2.3427,1.0,1.5e-05
Jackson,4.9e-05,4.9e-05,2.2e-05,2.256,1.0,4.9e-05
Jefferson,0.000155,0.000155,7e-05,2.2112,1.0,0.000155
Lafayette,0.000291,0.000291,0.000119,2.4496,1.0,0.000291
Lake,6e-06,6e-06,3e-06,2.3454,1.0,6e-06
Lee,3e-06,3e-06,1e-06,2.3062,1.0,3e-06
Leon,8e-06,8e-06,3e-06,2.3545,1.0,8e-06
Levy,5.4e-05,5.4e-05,2.4e-05,2.2596,1.0,5.4e-05
Liberty,0.000276,0.000276,0.00012,2.3062,1.0,0.000276
Madison,0.000124,0.000124,5.4e-05,2.2926,1.0,0.000124
Manatee,6e-06,6e-06,2e-06,2.3107,1.0,6e-06
Marion,6e-06,6e-06,3e-06,2.3193,1.0,6e-06
Martin,1.5e-05,1.5e-05,6e-06,2.336,1.0,1.5e-05
Miami-Dade,1e-06,1e-06,0.0,2.4267,1.0,1e-06
Monroe,3e-05,3e-05,1.3e-05,2.2543,1.0,3e-05
Nassau,2.7e-05,2.7e-05,1.1e-05,2.4137,1.0,2.7e-05
Okaloosa,1.1e-05,1.1e-05,5e-06,2.2488,1.0,1.1e-05
Okeechobee,5.2e-05,5.2e-05,2.4e-05,2.186,1.0,5.2e-05
Orange,2e-06,2e-06,1e-06,2.3583,1.0,2e-06
Osceola,6e-06,6e-06,3e-06,2.348,1.0,6e-06
Palm Beach,2e-06,2e-06,1e-06,2.3757,1.0,2e-06
Pasco,4e-06,4e-06,2e-06,2.4048,1.0,4e-06
Pinellas,2e-06,2e-06,1e-06,2.2894,1.0,2e-06
Polk,3e-06,3e-06,1e-06,2.3545,1.0,3e-06
Putnam,3e-05,3e-05,1.3e-05,2.2488,1.0,3e-05
St. Johns,9e-06,9e-06,4e-06,2.3899,1.0,9e-06
St. Lucie,7e-06,7e-06,3e-06,2.3047,1.0,7e-06
Santa Rosa,1.3e-05,1.3e-05,5e-06,2.4026,1.0,1.3e-05
Sarasota,5e-06,5e-06,2e-06,2.3077,1.0,5e-06
Seminole,5e-06,5e-06,2e-06,2.3596,1.0,5e-06
Sumter,1.8e-05,1.8e-05,8e-06,2.3222,1.0,1.8e-05
Suwannee,5e-05,5e-05,2.3e-05,2.2318,1.0,5e-05
Taylor,0.000105,0.000105,4.6e-05,2.2613,1.0,0.000105
Union,0.000149,0.000149,6.6e-05,2.2732,1.0,0.000149
Volusia,4e-06,4e-06,2e-06,2.3077,1.0,4e-06
Wakulla,6.9e-05,6.9e-05,3e-05,2.315,1.0,6.9e-05
Walton,3e-05,3e-05,1.4e-05,2.2217,1.0,3e-05
Washington,8.5e-05,8.5e-05,3.9e-05,2.1759,1.0,8.5e-05
