Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002678,0.002678,0.001052,2.3745,1.0724,0.002678
Anderson,0.001268,0.001268,0.000433,2.3179,1.2632,0.001268
Andrews,0.007384,0.007384,0.00262,2.5252,1.1163,0.007384
Angelina,0.000953,0.000953,0.000265,2.2863,1.5714,0.000953
Aransas,0.003181,0.003181,0.000978,2.3646,1.375,0.003181
Archer,0.00605,0.00605,0.001286,2.3519,2.0,0.00605
Armstrong,0.002353,0.002353,0.00106,2.2197,1.0,0.002353
Atascosa,0.003819,0.003819,0.000919,2.4393,1.7037,0.003819
Austin,0.003401,0.003401,0.000899,2.4733,1.5294,0.003401
Bailey,0.004696,0.004696,0.001,2.348,2.0,0.004696
Bandera,0.001129,0.001129,0.000476,2.372,1.0,0.001129
Bastrop,0.003085,0.003085,0.001217,2.3923,1.0594,0.003085
Baylor,0.002707,0.002707,0.00114,2.3745,1.0,0.002707
Bee,0.00112,0.00112,0.000491,2.2798,1.0,0.00112
Bell,0.002412,0.002412,0.000984,2.3829,1.0289,0.002412
Bexar,0.003719,0.003719,0.001426,2.4082,1.0826,0.003719
Blanco,0.003594,0.003594,0.001173,2.3558,1.3,0.003594
Borden,0.007261,0.007261,0.003058,2.3745,1.0,0.007261
Bosque,0.003187,0.003187,0.000803,2.2682,1.75,0.003187
Bowie,0.002535,0.002535,0.00103,2.3841,1.0326,0.002535
Brazoria,0.001389,0.001389,0.000609,2.2798,1.0,0.001389
Brazos,0.002858,0.002858,0.001182,2.3633,1.0227,0.002858
Brewster,0.000258,0.000258,0.000109,2.3745,1.0,0.000258
Briscoe,0.016362,0.016362,0.003234,2.5296,2.0,0.016362
Brooks,0.004613,0.004613,0.000987,2.3374,2.0,0.004613
Brown,0.009122,0.009122,0.003592,2.5398,1.0,0.009122
Burleson,0.002939,0.002939,0.001247,2.357,1.0,0.002939
Burnet,0.00451,0.00451,0.001557,2.4655,1.1746,0.00451
Caldwell,0.003474,0.003474,0.001305,2.4235,1.098,0.003474
Calhoun,0.003822,0.003822,0.000798,2.3934,2.0,0.003822
Callahan,0.003073,0.003073,0.001076,2.6521,1.0769,0.003073
Cameron,0.003292,0.003292,0.001073,2.398,1.2797,0.003292
Camp,0.001701,0.001701,0.000764,2.2278,1.0,0.001701
Carson,0.004468,0.004468,0.001856,2.4071,1.0,0.004468
Cass,0.003345,0.003345,0.001066,2.4299,1.2917,0.003345
Castro,0.009153,0.009153,0.002125,2.1539,2.0,0.009153
Chambers,0.006503,0.006503,0.001711,2.4655,1.5417,0.006503
Cherokee,0.00195,0.00195,0.000874,2.2318,1.0,0.00195
Childress,0.013962,0.013962,0.003148,2.2176,2.0,0.013962
Clay,0.008306,0.008306,0.001719,2.4159,2.0,0.008306
Cochran,0.007447,0.007447,0.003155,2.3608,1.0,0.007447
Coke,0.003505,0.003505,0.001476,2.3745,1.0,0.003505
Coleman,0.006234,0.006234,0.002569,2.4267,1.0,0.006234
Collin,0.002594,0.002594,0.001077,2.4093,1.0,0.002594
Collingsworth,0.00758,0.00758,0.001712,2.2134,2.0,0.00758
Colorado,0.000524,0.000524,0.000233,2.2525,1.0,0.000524
Comal,0.00532,0.00532,0.001568,2.4606,1.3785,0.00532
Comanche,0.004031,0.004031,0.000807,2.4986,2.0,0.004031
Concho,0.020905,0.020905,0.004402,2.3745,2.0,0.020905
Cooke,0.000627,0.000627,0.000267,2.3519,1.0,0.000627
Coryell,0.004495,0.004495,0.00108,2.3646,1.7609,0.004495
Cottle,0.017412,0.017412,0.004292,2.4341,1.6667,0.017412
Crane,0.002024,0.002024,0.000834,2.4267,1.0,0.002024
Crockett,0.013862,0.013862,0.004042,2.3745,1.4444,0.013862
Crosby,0.002029,0.002029,0.000872,2.3278,1.0,0.002029
Culberson,0.001094,0.001094,0.000461,2.3745,1.0,0.001094
Dallam,0.009124,0.009124,0.001921,2.3745,2.0,0.009124
Dallas,0.002359,0.002359,0.000941,2.3805,1.0531,0.002359
Dawson,0.004557,0.004557,0.001493,2.3745,1.2857,0.004557
Deaf Smith,0.010241,0.010241,0.002534,2.372,1.7037,0.010241
Delta,0.006124,0.006124,0.002063,2.3745,1.25,0.006124
Denton,0.003984,0.003984,0.001656,2.406,1.0,0.003984
DeWitt,0.001046,0.001046,0.000446,2.344,1.0,0.001046
Dickens,0.003222,0.003222,0.001357,2.3745,1.0,0.003222
Dimmit,0.011659,0.011659,0.002568,2.2699,2.0,0.011659
Donley,0.007022,0.007022,0.003051,2.3017,1.0,0.007022
Duval,0.012555,0.012555,0.00251,2.5013,2.0,0.012555
