Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003397,0.003397,0.001334,2.5049,1.0164,0.003397
Kansas City,Unknown,Unknown,0.001025,2.5049,1.0,0.002567
Adair,0.008092,0.008092,0.001657,2.4414,2.0,0.008092
Andrew,0.007412,0.007412,0.001807,2.7793,1.4762,0.007412
Atchison,0.004871,0.004871,0.001944,2.5049,1.0,0.004871
Audrain,0.002925,0.002925,0.001221,2.3957,1.0,0.002925
Barry,0.001839,0.001839,0.000726,2.5313,1.0,0.001839
Barton,0.004272,0.004272,0.001191,2.4828,1.4444,0.004272
Bates,0.001301,0.001301,0.000557,2.3374,1.0,0.001301
Benton,0.001933,0.001933,0.000874,2.2112,1.0,0.001933
Bollinger,0.003041,0.003041,0.001401,2.1707,1.0,0.003041
Boone,0.002954,0.002954,0.001147,2.4257,1.0619,0.002954
Buchanan,0.005159,0.005159,0.001728,2.7261,1.0949,0.005159
Butler,0.007403,0.007403,0.001577,2.3467,2.0,0.007403
Caldwell,0.003448,0.003448,0.000998,2.5921,1.3333,0.003448
Callaway,0.007413,0.007413,0.001497,2.4752,2.0,0.007413
Camden,0.002086,0.002086,0.000842,2.4771,1.0,0.002086
Cape Girardeau,0.00312,0.00312,0.001306,2.3888,1.0,0.00312
Carroll,0.008138,0.008138,0.001613,2.5226,2.0,0.008138
Carter,0.002094,0.002094,0.000836,2.5049,1.0,0.002094
Cass,0.004975,0.004975,0.001418,2.4958,1.4057,0.004975
Cedar,0.003484,0.003484,0.001324,2.6315,1.0,0.003484
Chariton,0.00217,0.00217,0.000943,2.3017,1.0,0.00217
Christian,0.003347,0.003347,0.001309,2.5564,1.0,0.003347
Clark,0.006633,0.006633,0.00206,2.4771,1.3,0.006633
Clay,0.001915,0.001915,0.000612,2.6351,1.1875,0.001915
Clinton,0.004133,0.004133,0.00157,2.6329,1.0,0.004133
Cole,0.012571,0.012571,0.00258,2.4362,2.0,0.012571
Cooper,0.004638,0.004638,0.00096,2.4159,2.0,0.004638
Crawford,0.00321,0.00321,0.001296,2.4771,1.0,0.00321
Dade,0.007007,0.007007,0.002248,2.3374,1.3333,0.007007
Dallas,0.003331,0.003331,0.001422,2.3427,1.0,0.003331
Daviess,0.001816,0.001816,0.000725,2.5049,1.0,0.001816
DeKalb,0.001952,0.001952,0.000717,2.721,1.0,0.001952
Dent,0.00975,0.00975,0.001734,2.8119,2.0,0.00975
Douglas,0.001767,0.001767,0.000683,2.589,1.0,0.001767
Dunklin,0.002261,0.002261,0.000927,2.4393,1.0,0.002261
Franklin,0.00359,0.00359,0.001404,2.4331,1.0507,0.00359
Gasconade,0.004336,0.004336,0.001632,2.5415,1.0455,0.004336
Gentry,0.005699,0.005699,0.002131,2.6747,1.0,0.005699
Greene,0.003536,0.003536,0.001355,2.5049,1.0421,0.003536
Grundy,0.007343,0.007343,0.002234,2.5049,1.3125,0.007343
Harrison,0.004294,0.004294,0.001557,2.7586,1.0,0.004294
Henry,0.005135,0.005135,0.001558,2.2972,1.4348,0.005135
Hickory,0.003415,0.003415,0.001467,2.3278,1.0,0.003415
Holt,0.003413,0.003413,0.001363,2.5049,1.0,0.003413
Howard,0.002352,0.002352,0.001,2.3519,1.0,0.002352
Howell,0.004669,0.004669,0.001346,2.6834,1.2927,0.004669
Iron,0.003042,0.003042,0.001185,2.5669,1.0,0.003042
Jackson,0.002166,0.002166,0.000777,2.5022,1.1145,0.002166
Jasper,0.00421,0.00421,0.001492,2.4616,1.1465,0.00421
Jefferson,0.00375,0.00375,0.001519,2.4536,1.0059,0.00375
Johnson,0.005293,0.005293,0.001443,2.5252,1.4528,0.005293
Knox,0.008451,0.008451,0.001768,2.3899,2.0,0.008451
Laclede,0.002858,0.002858,0.00098,2.4026,1.2143,0.002858
Lafayette,0.002647,0.002647,0.00107,2.4733,1.0,0.002647
Lawrence,0.002658,0.002658,0.001069,2.4865,1.0,0.002658
Lewis,0.006824,0.006824,0.002353,2.5049,1.1579,0.006824
Lincoln,0.003868,0.003868,0.001559,2.4809,1.0,0.003868
Linn,0.001467,0.001467,0.000587,2.4986,1.0,0.001467
Livingston,0.004537,0.004537,0.001642,2.7634,1.0,0.004537
McDonald,0.001437,0.001437,0.000569,2.5252,1.0,0.001437
Macon,0.005584,0.005584,0.001191,2.4828,1.8889,0.005584
Madison,0.004186,0.004186,0.001737,2.4093,1.0,0.004186
Maries,0.010625,0.010625,0.00207,2.5669,2.0,0.010625
Marion,0.006959,0.006959,0.001928,2.4733,1.4595,0.006959
Mercer,0.008904,0.008904,0.002765,2.5049,1.2857,0.008904
Miller,0.003985,0.003985,0.001288,2.5139,1.2308,0.003985
Mississippi,0.001359,0.001359,0.000607,2.2395,1.0,0.001359
Moniteau,0.0108,0.0108,0.002294,2.3545,2.0,0.0108
Monroe,0.002029,0.002029,0.00081,2.5049,1.0,0.002029
Montgomery,0.003487,0.003487,0.001385,2.5174,1.0,0.003487
Morgan,0.00265,0.00265,0.001067,2.4847,1.0,0.00265
New Madrid,0.00148,0.00148,0.000644,2.2972,1.0,0.00148
Newton,0.001328,0.001328,0.000532,2.494,1.0,0.001328
Nodaway,0.000132,0.000132,4.5e-05,2.9167,1.0,0.000132
Oregon,0.006661,0.006661,0.00133,2.5049,2.0,0.006661
Osage,0.012316,0.012316,0.002424,2.5406,2.0,0.012316
Ozark,0.001112,0.001112,0.000436,2.5506,1.0,0.001112
Pemiscot,0.000569,0.000569,0.000253,2.247,1.0,0.000569
Perry,0.004401,0.004401,0.001359,2.721,1.1905,0.004401
Pettis,0.004923,0.004923,0.001724,2.5381,1.125,0.004923
Phelps,0.004273,0.004273,0.001503,2.8427,1.0,0.004273
Pike,0.004185,0.004185,0.001912,2.1884,1.0,0.004185
Platte,0.002536,0.002536,0.000757,2.6645,1.2581,0.002536
Polk,0.006423,0.006423,0.001586,2.5103,1.6129,0.006423
Pulaski,0.001702,0.001702,0.000703,2.4203,1.0,0.001702
Putnam,0.007468,0.007468,0.001491,2.5049,2.0,0.007468
Ralls,0.008747,0.008747,0.001746,2.5049,2.0,0.008747
Randolph,0.001116,0.001116,0.000485,2.3017,1.0,0.001116
Ray,0.002171,0.002171,0.000912,2.3793,1.0,0.002171
Reynolds,0.001059,0.001059,0.000478,2.2134,1.0,0.001059
Ripley,0.002256,0.002256,0.000527,2.1415,2.0,0.002256
St. Charles,0.004676,0.004676,0.001637,2.5701,1.1117,0.004676
St. Clair,0.003351,0.003351,0.001383,2.4224,1.0,0.003351
Ste. Genevieve,0.003368,0.003368,0.001229,2.7391,1.0,0.003368
St. Francois,0.004138,0.004138,0.001518,2.7267,1.0,0.004138
St. Louis,0.003745,0.003745,0.00148,2.5313,1.0,0.003745
Saline,0.004304,0.004304,0.001318,2.4771,1.3182,0.004304
Schuyler,0.006915,0.006915,0.001502,2.3017,2.0,0.006915
Scotland,0.00657,0.00657,0.00204,2.5049,1.2857,0.00657
Scott,0.002994,0.002994,0.001332,2.247,1.0,0.002994
Shannon,0.003374,0.003374,0.001347,2.5049,1.0,0.003374
Shelby,0.006333,0.006333,0.001855,2.3899,1.4286,0.006333
Stoddard,0.010072,0.010072,0.002067,2.4362,2.0,0.010072
Stone,0.003211,0.003211,0.001314,2.3829,1.025,0.003211
Sullivan,0.002594,0.002594,0.000985,2.6329,1.0,0.002594
Taney,0.002457,0.002457,0.00093,2.6429,1.0,0.002457
Texas,0.001759,0.001759,0.000748,2.3519,1.0,0.001759
Vernon,0.00319,0.00319,0.00107,2.5556,1.1667,0.00319
Warren,0.003865,0.003865,0.001543,2.5049,1.0,0.003865
Washington,0.002423,0.002423,0.00089,2.7236,1.0,0.002423
Wayne,0.002536,0.002536,0.001088,2.3319,1.0,0.002536
Webster,0.002279,0.002279,0.000909,2.5067,1.0,0.002279
Worth,0.006222,0.006222,0.002484,2.5049,1.0,0.006222
Wright,0.002751,0.002751,0.001039,2.5013,1.0588,0.002751
St. Louis City,0.003723,0.003723,0.001324,2.5851,1.0877,0.003723
